# AMAT exchange matrix
# mode paw_orth_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 1
# i j real imag
     1      2  1.1577784621887824e-13  3.0391737795370004e-13
     1      3  4.9588166766218778e-13 -2.0411363412762356e-12
     1      4  2.8130695842627748e-07  5.8541352497504180e-09
     1      5 -1.0519744614019910e-13 -1.1833379371288005e-13
     1      6  2.1713458440047190e-12  4.5545472128845457e-13
     1      7  2.7984035954657223e-07  5.8471367244156651e-09
     1      8  2.3017797644188774e-11 -9.2279091873319185e-10
     1      9  1.2476547304453264e-09 -4.9914427855606595e-08
     1     10  2.7766532674875490e-07  5.8129953050601565e-09
     1     11  1.2800871145965082e-10  1.0644641838938432e-09
     1     12  6.3161684240914749e-09  5.2491606347338305e-08
     1     13  2.4517879922459403e-07  1.0745941882316641e-07
     1     14 -1.7216271042111137e-09  2.9893562511185911e-09
     1     15  8.9366200647528847e-08 -6.4224070867020988e-08
     1     16  2.8130518218738784e-07  5.9387352699501937e-09
     1     17 -1.1040831027051828e-13  1.2431120428301226e-13
     1     18  2.1434985162784292e-12  3.6141183602841997e-15
     1     19  2.7983957457956158e-07  5.8842686289053413e-09
     1     20 -1.5664258456163706e-11  9.2293790034982541e-10
     1     21 -8.4479798594647106e-10  4.9922693093678616e-08
     1     22  2.4946634256544641e-07 -9.7091212665018769e-08
     1     23 -1.5948532008337463e-09 -3.0588450091392920e-09
     1     24  8.6596637426175202e-08  6.7911749445270989e-08
     1     25  2.7766501652780698e-07  5.8272324459863157e-09
     1     26  1.7248543661518815e-10 -1.0581619709830629e-09
     1     27  8.5097627550235682e-09 -5.2180820334970744e-08
     2      1  1.1577784621960611e-13 -3.0391737795377168e-13
     2      3  1.7343266842278810e-06 -5.5759215945869619e-09
     2      4  1.2486290167383139e-13 -2.8298837128295563e-13
     2      5 -8.6125794109078509e-10  5.2540528016774060e-08
     2      6 -2.8633512066735142e-08  1.7466807901681279e-06
     2      7 -3.7088036933989871e-11  4.5233774235768703e-12
     2      8 -6.7767825110630868e-09 -5.3869195682920277e-08
     2      9 -2.2121086467389684e-07 -1.7576046801807513e-06
     2     10 -4.6138979566580030e-11  5.6922456082442644e-12
     2     11  1.5125164773767523e-08  5.4663620184518541e-08
     2     12  4.7525391911026220e-07  1.7175861505417860e-06
     2     13  3.6166035786627588e-12  2.0784046221279174e-12
     2     14 -5.5238688617976526e-08  2.1568892351248765e-08
     2     15  1.6603199652352667e-06 -6.2071878927538959e-07
     2     16  1.1227422210464929e-13 -2.8078986163577618e-13
     2     17  1.4266560607597434e-08  5.0573848661093384e-08
     2     18  4.7428595117573691e-07  1.6812991006250364e-06
     2     19  3.7318889722344994e-11 -5.1493814050095088e-12
     2     20 -7.2221357738637830e-09 -5.3811297653280014e-08
     2     21 -2.3553964699520632e-07 -1.7557419194559950e-06
     2     22 -2.6992635249552248e-12  2.7744042230525547e-12
     2     23  5.8917415109008125e-08  6.7281102074681533e-09
     2     24 -1.7638400077086368e-06 -1.7556277672833192e-07
     2     25  4.6370928188464504e-11 -6.3343298811094979e-12
     2     26 -6.4561706719834295e-10  5.6713885451416026e-08
     2     27 -2.0291102720418319e-08  1.7820092221152980e-06
     3      1  4.9588166766216647e-13  2.0411363412307354e-12
     3      2  1.7343266842278810e-06  5.5759215945869404e-09
     3      4  4.0048174537715062e-13  2.9028640034810970e-12
     3      5 -3.4609056756025709e-08  1.7650295484098895e-06
     3      6 -1.4418879927163728e-06  7.3531427578759316e-05
     3      7 -7.1440844417203669e-10  9.0698982107124686e-11
     3      8 -2.2439810592977505e-07 -1.8312853765657636e-06
     3      9 -9.0900584612015299e-06 -7.4147359212967172e-05
     3     10 -8.4397736121635735e-10  1.0703569225391846e-10
     3     11  5.1703819765843730e-07  1.8922651387821556e-06
     3     12  1.9847789282471973e-05  7.2638565082424963e-05
     3     13  3.5037346173992930e-09 -6.7514037512542408e-09
     3     14 -1.9735889859035658e-06  7.7009757867656592e-07
     3     15  7.0460521131193198e-05 -2.6376564554008739e-05
     3     16  2.4987931936982909e-13  2.9219027965309595e-12
     3     17  4.7382936466252108e-07  1.7005919046808831e-06
     3     18  1.9739876766439431e-05  7.0846927576401802e-05
     3     19  7.1436151030327792e-10 -9.0378252335036093e-11
     3     20 -2.3953963630436773e-07 -1.8293663937831181e-06
     3     21 -9.6945662907700959e-06 -7.4070746085251347e-05
     3     22 -5.0772758724818972e-09 -5.6638462437871102e-09
     3     23  2.1033042343446041e-06  2.5340690973206935e-07
     3     24 -7.4812864496541777e-05 -7.9651429281556144e-06
     3     25  8.4390972346160190e-10 -1.0688116128056027e-10
     3     26 -2.8635868077011226e-08  1.9614218922317573e-06
     3     27 -1.0994364697286343e-06  7.5293340443999135e-05
     4      5 -9.1338536633280284e-14 -1.1117049178321928e-13
     4      6  3.0662667701226165e-12  5.0169961844719732e-13
     4      7  2.7934115581856329e-07  2.3477093820993749e-11
     4      8  3.7496481769726089e-12 -9.1243814979990112e-10
     4      9  2.0568517988164141e-10 -4.9418577797500235e-08
     4     10  2.7736038049495777e-07  3.4600201059563746e-11
     4     11  1.4845726113601399e-10  1.0496000469158577e-09
     4     12  7.3323395988670659e-09  5.1813748381613624e-08
     4     13  2.4730577659986448e-07  1.0235120259078348e-07
     4     14 -1.6276512155421807e-09  3.0097868374436473e-09
     4     15  8.7000214116187079e-08 -6.5951489411133441e-08
     4     16  2.8054566220506339e-07  8.4372576379747868e-11
     4     17 -8.9249928810201056e-14  1.2797338737947866e-13
     4     18  3.0337075532684323e-12 -2.6028336073039243e-13
     4     19  2.7905846789981762e-07  6.0479179842175709e-11
     4     20  3.4798041182387074e-12  9.1233337436067100e-10
     4     21  1.9106220061650057e-10  4.9418685248105595e-08
     4     22  2.4664181285767009e-07 -1.0197591299124225e-07
     4     23 -1.6290829304645760e-09 -3.0136037003702328e-09
     4     24  8.6943924761358003e-08  6.6071380170833786e-08
     4     25  2.7688109630944219e-07  4.8739323006700313e-11
     4     26  1.4874902228548525e-10 -1.0494625103930669e-09
     4     27  7.3475837519412948e-09 -5.1812123656614856e-08
     5      4 -9.1338536631897329e-14  1.1117049178321670e-13
     5      6  1.7867525073243437e-06  1.6886427105652731e-12
     5      7  5.4542480652797734e-12  3.8213242442631474e-11
     5      8 -5.4907271081148185e-08  7.8235521696507125e-09
     5      9 -1.8021512202082557e-06  2.5688836532145167e-07
     5     10  6.7500054227294749e-12  4.7203726906820891e-11
     5     11  5.5801829407635566e-08 -1.6429327553535167e-08
     5     12  1.7640349686261869e-06 -5.1937788106507561e-07
     5     13 -1.9161873486363982e-12 -5.5689952316034094e-12
     5     14  2.3154382461469095e-08  5.6526888352722801e-08
     5     15 -6.7127681547538549e-07 -1.7089060243187250e-06
     5     16 -8.9249928818243398e-14  1.2797338735151065e-13
     5     17  5.0868833596719352e-08 -1.5254165139862876e-08
     5     18  1.6973105836706383e-06 -5.0897882723739769e-07
     5     19 -5.7991649869705860e-12 -3.8493250855011140e-11
     5     20 -5.4165253015974969e-08  8.1755192423487147e-09
     5     21 -1.7727910708639922e-06  2.6747512194428921e-07
     5     22  7.9752194328136889e-13 -3.7407812772248872e-13
     5     23  5.7885246524237455e-09 -5.9334918476984424e-08
     5     24 -1.4761772160087505e-07  1.7796015019890926e-06
     5     25 -7.1880450628406015e-12 -4.7811829734792354e-11
     5     26  5.7133045052239993e-08 -2.8610433217668626e-10
     5     27  1.7998566058645146e-06 -9.0079392872716996e-09
     6      4  3.0662667700987252e-12 -5.0169961845138957e-13
     6      5  1.7867525073243437e-06 -1.6886427105603747e-12
     6      7  1.0658048587021663e-10  7.2494823662811950e-10
     6      8 -1.8575459881314260e-06  2.6467671538900555e-07
     6      9 -7.5295070577967898e-05  1.0733034972787282e-05
     6     10  1.2455945512671870e-10  8.4779600219021190e-10
     6     11  1.9220794670181129e-06 -5.6590708662952572e-07
     6     12  7.3866123235720877e-05 -2.1748185758713132e-05
     6     13 -6.8886996940138419e-09 -3.5583842973346127e-09
     6     14  8.2949730497483976e-07  2.0082411577281030e-06
     6     15 -2.8493792435290448e-05 -7.1789114458740554e-05
     6     16  3.0337075529911423e-12 -2.6028336246986269e-13
     6     17  1.6973105836706385e-06 -5.0897882723739663e-07
     6     18  7.0748967153646213e-05 -2.1215824295153079e-05
     6     19 -1.0881782122889263e-10 -7.4271111154030418e-10
     6     20 -1.8268582239210319e-06  2.7574229490004870e-07
     6     21 -7.4004997357128137e-05  1.1165792203436681e-05
     6     22 -5.5726780700875688e-09  5.0744846149148831e-09
     6     23  2.1134926111259965e-07 -2.1003458450112425e-06
     6     24 -6.4760000871652861e-06  7.4716380293185771e-05
     6     25 -1.2893301983464471e-10 -8.7973547712617668e-10
     6     26  1.9599300298134854e-06 -9.8156136761709773e-09
     6     27  7.5269605761276047e-05 -3.7677445816778524e-07
     7      8  3.4480234148984373e-12 -8.4421832016914217e-10
     7      9  1.9629374529288047e-10 -4.7371288607400610e-08
     7     10  2.7666268626742635e-07  1.1241582555122055e-11
     7     11  1.3795633913420348e-10  9.7524584713038704e-10
     7     12  7.0353944426439794e-09  4.9709181027759870e-08
     7     13  2.4725387709954535e-07  1.0240497646315111e-07
     7     14 -1.5005809002497327e-09  2.9715726506253997e-09
     7     15  8.3628806235522274e-08 -6.5837574888659217e-08
     7     16  2.7905846789981767e-07  6.0479179842175606e-11
     7     17 -5.7991649869635978e-12 -3.8493250854983216e-11
     7     18 -1.0881782122866052e-10 -7.4271111153861818e-10
     7     19  2.7764037506778675e-07  3.6840873292225694e-11
     7     20  3.6771162459303690e-12  9.2758226987886953e-10
     7     21  1.9635691970074036e-10  4.8942110125433117e-08
     7     22  2.4576065499357069e-07 -1.0172038483620224e-07
     7     23 -1.6008965017479503e-09 -2.9963782607989196e-09
     7     24  8.5192320561289766e-08  6.6221511927695824e-08
     7     25  2.7562774902773130e-07  2.5354440696983715e-11
     7     26  1.5097675647190524e-10 -1.0662622607567970e-09
