# AMAT exchange matrix
# mode paw_full
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2  1.5453988477445168e-09 -9.5410340339351311e-09
     1      3  2.8321897063127077e-09 -8.6995808795395307e-10
     1      4 -1.5698448382570791e-03 -3.2667450627616396e-05
     1      5 -1.7352500982860216e-09  9.5990345608911619e-09
     1      6 -5.4363680017668703e-10  7.3172990362957816e-09
     1      7 -7.7982582116388997e-03 -1.6294108395340683e-04
     1      8 -1.3776017014030781e-06  5.4876604675606686e-05
     1      9 -1.7098988303293229e-06  6.8245213254534807e-05
     1     10 -3.4807504916272797e-04 -7.2870369344637076e-06
     1     11 -7.6659698392538059e-07 -6.3726678520644980e-06
     1     12 -7.4097871857570765e-06 -6.1611839331119462e-05
     1     13 -3.0290813539697830e-04 -1.3759698982563945e-04
     1     14 -4.9466417180977613e-06  4.5776334751912940e-07
     1     15 -3.0859100451274154e-05  8.2891484910913286e-06
     1     16 -1.5698348807547727e-03 -3.3142750305938570e-05
     1     17 -1.3184809087174162e-09 -9.5170822729163480e-09
     1     18  2.9926967598666108e-10 -2.0492739694278073e-09
     1     19 -7.7982365720338127e-03 -1.6397403190026552e-04
     1     20  9.2313349808946761e-07 -5.4886322723747705e-05
     1     21  1.1520942262472436e-06 -6.8262775154705673e-05
     1     22 -3.0840783140226075e-04  1.2478332237163655e-04
     1     23 -4.9229539756570356e-06 -6.6458722571008772e-07
     1     24 -3.0490174166217663e-05 -9.5767458188614945e-06
     1     25 -3.4807468030411299e-04 -7.3048100015156145e-06
     1     26 -1.0330090862350898e-06  6.3351037826741892e-06
     1     27 -9.9866552882013110e-06  6.1252765451324587e-05
     2      1  1.5364393247159262e-09  9.5423903099266544e-09
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -6.9927134354782164e-02  2.2479117005470739e-04
     2      4 -9.1286155321737459e-09  1.2547062236594973e-09
     2      5  2.5839967231820598e-05 -1.5762735214730943e-03
     2      6  2.5929058239404837e-05 -1.5816804387036171e-03
     2      7  5.3625385976834000e-05 -6.9750497164022793e-06
     2      8  9.0998726360078835e-04  7.2335674830471012e-03
