# AMAT exchange matrix
# mode paw_full
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2  1.6540139051378419e-09 -9.4061436527639664e-09
     1      3  3.6177343671040461e-10  5.4952488539111356e-10
     1      4 -1.8234000204453919e-03 -3.7944088475379429e-05
     1      5 -1.6116901814585246e-09  9.5327952211196872e-09
     1      6 -2.0445857805671590e-09  4.8192715259487068e-09
     1      7 -8.0501755153284012e-03 -1.6820485423416382e-04
     1      8 -1.3527029125959565e-06  5.3880477045395156e-05
     1      9 -5.3362094363945049e-07  2.1350995834016977e-05
     1     10 -5.9767836489705965e-04 -1.2512462481520689e-05
     1     11 -6.3250332808969886e-07 -5.2586726406879331e-06
     1     12 -1.5492866851803431e-06 -1.2872175667913709e-05
     1     13 -5.2861283028611539e-04 -2.4002088444403472e-04
     1     14 -6.2162729630238088e-06  7.4999939625030199e-07
     1     15  1.9545174823098970e-05 -2.5610273275182866e-06
     1     16 -1.8233884639364199e-03 -3.8495571463954360e-05
     1     17 -1.2094715248991706e-09 -9.5603998953915214e-09
     1     18 -1.7590259597028228e-09 -4.1896099858159754e-09
     1     19 -8.0501531728017339e-03 -1.6927107345718646e-04
     1     20  9.0625883112782877e-07 -5.3889904770174924e-05
     1     21  3.6194976603198675e-07 -2.1355743552232851e-05
     1     22 -5.3820616766577412e-04  2.1765947313107979e-04
     1     23 -6.1793543207198729e-06 -1.0098359004431294e-06
     1     24  1.9419658181000863e-05  3.3779361499208782e-06
     1     25 -5.9767771467394667e-04 -1.2543192152089655e-05
     1     26 -8.5231533744230274e-07  5.2275798104747755e-06
     1     27 -2.0877034362827469e-06  1.2796840670543492e-05
     2      1  1.6450543821092027e-09  9.4074999287556304e-09
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -7.1536480318484308e-02  2.2996450868336779e-04
     2      4 -8.9413016037945941e-09  1.1572403228583106e-09
     2      5  2.6625911107765649e-05 -1.6242174032257972e-03
     2      6  5.2641955152120075e-05 -3.2111531761963665e-03
     2      7  5.3597157867691117e-05 -6.9713937734963309e-06
     2      8  9.1618844789958143e-04  7.2828615615306968e-03
     2      9  5.5174867177704503e-04  4.3838719712623320e-03
     2     10  5.1953660245413826e-06 -6.7560990577657778e-07
     2     11 -1.3799803135489580e-04 -4.9873857895471911e-04
     2     12 -6.2466600673099354e-04 -2.2575728619644115e-03
     2     13 -5.2022454509010756e-06 -2.2276773280269473e-06
     2     14  4.7139936425936692e-04 -1.8622850530663996e-04
     2     15 -2.1758144868313672e-03  8.2523162278391824e-04
     2     16  8.9228944060265378e-09 -1.1671626733995655e-09
     2     17 -4.4103157703355086e-04 -1.5634200593815126e-03
     2     18 -8.7194078295575945e-04 -3.0909532915741290e-03
     2     19 -5.3598089793623868e-05  6.9644115269615250e-06
     2     20  9.7639645593220836e-04  7.2750342840088231e-03
     2     21  5.8748884385766435e-04  4.3792260177919484e-03
     2     22  4.4597303772449698e-06 -3.4837470511977499e-06
     2     23 -5.0334605315108705e-04 -5.9507687086977901e-05
     2     24  2.3144907969563414e-03  2.4147403730315087e-04
     2     25 -5.1954380108540505e-06  6.7522850500217684e-07
     2     26  5.8901449957136452e-06 -5.1744461245193751e-04
     2     27  2.6670897616290060e-05 -2.3422491501711531e-03
     3      1  3.6275208279819136e-10 -5.4966981238656383e-10
     3      2 -7.1536480318498102e-02 -2.2996450439815883e-04
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
