# AMAT exchange matrix
# mode paw_full
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -1.0782240244974727e-10 -1.3762103476084740e-10
     1      3  2.4837190971727689e-09 -1.4519493002226153e-09
     1      4  2.5362972511366064e-04  5.2781890027838496e-06
     1      5 -1.2271199113324835e-10  6.6017845674510548e-11
     1      6  1.5330213451516433e-09  2.5093161752112704e-09
     1      7  2.5199352858275867e-04  5.2653626476607130e-06
     1      8 -2.4897747155458787e-08  9.9605767291908015e-07
     1      9 -1.1762102940742758e-06  4.6890124383175370e-05
     1     10  2.4968385033173797e-04  5.2271111635856897e-06
     1     11 -1.3408501909069766e-07 -1.1139359183495304e-06
     1     12 -5.8599656740563374e-06 -4.8735499853934272e-05
     1     13  2.2578354364322792e-04  1.0245967539488644e-04
     1     14  1.2695305523967004e-06 -2.9221186584376153e-07
     1     15 -5.0399998203851286e-05  1.0849222160052589e-05
     1     16  2.5362812554036239e-04  5.3543942312485710e-06
     1     17 -1.0813271213017140e-10  4.3611157922768771e-11
     1     18  2.0940385466577956e-09  2.1456888576595216e-09
     1     19  2.5199282516985306e-04  5.2986439192339346e-06
     1     20  1.6872823743992294e-08 -9.9634810336478935e-07
     1     21  7.9004374694737600e-07 -4.6902956008254913e-05
     1     22  2.2987861408704791e-04 -9.2908596349337478e-05
     1     23  1.2563008917874985e-06  3.4522035455820168e-07
     1     24 -4.9905612600537589e-05 -1.2953554805191288e-05
     1     25  2.4968356841399475e-04  5.2400720180003718e-06
     1     26 -1.8068268510024690e-07  1.1074652008730629e-06
     1     27 -7.8982476321680869e-06  4.8451802785182806e-05
     2      1 -1.0782240245050011e-10  1.3762103476154202e-10
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3  1.6145383415296529e-03 -5.1900112274525176e-06
     2      4 -1.8697593682569152e-10  9.7782147872427924e-11
     2      5 -7.8822684395687829e-07  4.8083124784477239e-05
     2      6 -2.6799463473952256e-05  1.6347522460776838e-03
     2      7  2.8385394869002704e-08 -3.6748596665730576e-09
     2      8 -6.2191379463202874e-06 -4.9436805288357413e-05
     2      9 -2.0753773834220339e-04 -1.6489745746682491e-03
     2     10  3.5008915902137531e-08 -4.5557045560997230e-09
     2     11  1.3947046133005374e-05  5.0405996116725742e-05
     2     12  4.4782386780565039e-04  1.6184569275063951e-03
     2     13  5.8953080783033762e-08  1.6716535815591168e-08
     2     14 -5.2072375722983893e-05  2.0577751898113148e-05
     2     15  1.5776552459152004e-03 -5.9798800348789035e-04
     2     16 -1.5858428165271131e-10  9.4091646723277747e-11
     2     17  1.3056222186050833e-05  4.6283293902868477e-05
     2     18  4.4389259291052806e-04  1.5735605047138312e-03
     2     19 -2.8748204262236222e-08  3.7528880032923108e-09
     2     20 -6.6279010929224619e-06 -4.9383664015940829e-05
     2     21 -2.2098126663219940e-04 -1.6472269550773877e-03
     2     22 -5.3057025348175879e-08  3.1430663367841012e-08
     2     23  5.5602918916197916e-05  6.5795478215939268e-06
     2     24 -1.6781111159493163e-03 -1.7472571485540407e-04
     2     25 -3.5384622163143615e-08  4.5950925251766180e-09
     2     26 -5.9532070453017685e-07  5.2296555399964472e-05
     2     27 -1.9120653435594529e-05  1.6791616214212376e-03
     3      1  2.4837190971366973e-09  1.4519493001499535e-09
     3      2  1.6145383415296529e-03  5.1900112274525210e-06
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4 -8.2505794155830019e-10  1.9551292007968324e-09
     3      5 -3.2381958314086703e-05  1.6514348196420975e-03
     3      6 -1.3044077747813325e-03  6.6520400906495220e-02
     3      7  3.3924001000908119e-07 -4.3138088964413046e-08
     3      8 -2.1065472663367454e-04 -1.7191354931283158e-03
     3      9 -8.2464503383372859e-03 -6.7266071240116784e-02
     3     10  4.1073006837165403e-07 -5.2883823709924861e-08
     3     11  4.8741006404656061e-04  1.7838373074945447e-03
     3     12  1.8094223477542824e-02  6.6220898562902433e-02
     3     13  8.2536062635614101e-07  2.3672846273904578e-07
     3     14 -1.8888391616828193e-03  7.3941256829603507e-04
     3     15  6.4798499249177757e-02 -2.4323011294111203e-02
     3     16  1.2266827994663829e-09  1.6950673676393703e-09
     3     17  4.4333467165146706e-04  1.5911442257829376e-03
     3     18  1.7857731870755626e-02  6.4091861189548446e-02
     3     19 -3.3933659720267758e-07  4.2862238144161712e-08
     3     20 -2.2487092982031819e-04 -1.7173337871025844e-03
     3     21 -8.7948565704507216e-03 -6.7196568394826184e-02
     3     22 -7.4026511143511373e-07  4.3517551923029810e-07
     3     23  2.0135790555620243e-03  2.4483424290497725e-04
     3     24 -6.8817564850217158e-02 -7.3889965258562848e-03
     3     25 -4.1099830380131731e-07  5.1259024175332766e-08
     3     26 -2.6993514985413638e-05  1.8490309621298714e-03
     3     27 -1.0023004155134986e-03  6.8641123105478291e-02
     4      1  2.5362972511366064e-04 -5.2781890027838666e-06
     4      2 -1.8697593682564631e-10 -9.7782147872373835e-11
     4      3 -8.2505794156885315e-10 -1.9551292007712254e-09
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5 -1.5676693489268341e-10 -9.5782167258483396e-12
