# AMAT exchange matrix
# mode paw_full
# implementation full_grid_only
# response_basis TODO
# shape 28 28
# q_ext 0.000000000000 0.333333333333 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -6.4100263899652046e-06 -9.8001273009447525e-07
     1      3 -1.4530636909889861e-05 -2.1980918652140958e-06
     1      4  8.5916874821469257e-04  1.4701240506468528e-03
     1      5 -5.7584703411387964e-06  2.3205188157258084e-06
     1      6 -1.2717670580969361e-05  5.1265288795685338e-06
     1      7 -3.4984603741867768e-06  5.7999012113487281e-06
     1      8  8.9475469467827670e-05  5.4479838294927633e-05
     1      9 -1.9537035630847680e-04 -1.1897150821428451e-04
     1     10  2.9787733890646711e-05 -1.3975834209109974e-05
     1     11 -4.1368279498033578e-06 -6.3235497382865770e-06
     1     12 -2.3398538702135076e-04 -3.4693703899561714e-04
     1     13  4.6634658057615033e-05 -1.4688960804371459e-06
     1     14 -3.0240984107962345e-05  2.4726729438855591e-05
     1     15 -5.7357422103413238e-04  4.6940847642140964e-04
     1     16 -1.3506358689449162e-03  1.0463161876571347e-03
     1     17 -3.7488698771722790e-06 -3.6050273610265429e-06
     1     18  6.1880017909050604e-06  6.1182831102350977e-06
     1     19  4.6021196951695990e-03  6.4526677562623267e-03
     1     20 -3.8657968915431550e-05  2.7817670125408562e-05
     1     21  1.0111646554048352e-03  1.4081653777029317e-03
     1     22 -1.9631838124855978e-05  1.4220590049930835e-05
     1     23 -2.1874213264245289e-04  3.9458121148086485e-04
     1     24 -1.0858450837130547e-05  5.4649280750493577e-06
     1     25 -9.2376395503453692e-06  5.9058089483923051e-06
     1     26  2.3701309386793147e-04  4.0571815938599372e-04
     1     27 -7.4881090320147757e-07  3.0615224758921541e-07
     1     28  1.7352639175105109e-05 -7.0920784701013402e-06
     2      1 -6.4100353474305867e-06  9.8001408605898907e-07
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -7.1699093867048203e-02  4.1062019671017318e-06
     2      4  4.3876187530425142e-06  5.4356212475833954e-06
     2      5 -1.3573035531588913e-03  8.0129411823701884e-04
     2      6 -1.2596452624405287e-03  7.4364591358208501e-04
     2      7  4.9983345093900923e-05 -1.2074386919446481e-04
     2      8 -6.8113571163143818e-06 -2.8532363378510767e-06
     2      9 -4.3463262216698699e-05 -1.8210416189454052e-05
     2     10  2.8339131514252722e-05 -1.8930374949855428e-05
     2     11  5.4942635127816520e-06  6.1449199909895752e-06
     2     12 -9.2627445384083095e-05 -1.0071681320587684e-04
     2     13 -1.6239917455159510e-05  3.0055758068314592e-06
     2     14 -2.5658131949669858e-06  2.8971125197603416e-06
     2     15 -7.4934007705893457e-05  7.9831871637857149e-05
     2     16 -5.3602414495502003e-06  5.6233311300595634e-06
     2     17 -1.2897910856933294e-03 -9.1230151109074017e-04
     2     18  1.1617108842192768e-03  8.4642138619587495e-04
     2     19  4.1941020458720571e-05  4.3272292389418858e-05
     2     20  5.2100091923569106e-03 -5.0923369211434023e-03
     2     21  2.1340244699901261e-04  2.1876516672203456e-04
     2     22  1.9356404295326308e-03 -1.9041251827973289e-03
     2     23 -9.4171326029131713e-07  4.6645044132942023e-07
     2     24 -3.7493779804779982e-04  2.3641395081066852e-04
     2     25 -4.4373697086610010e-04  2.7917077126460494e-04
     2     26  7.2744783018139270e-06  9.0151834071396115e-06
     2     27 -3.9431156730440392e-04  2.3545609086616473e-04
     2     28 -4.6520786554206080e-04  2.7778868565926868e-04
     3      1 -1.4530635910371063e-05  2.1980917159374184e-06
     3      2 -7.1699093867064218e-02 -4.1061975118890735e-06
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4  1.3124166384629685e-05  1.6264431880596951e-05
     3      5 -1.3211635117812155e-03  7.7985608463354301e-04
     3      6 -3.8200954341459939e-02  2.2549456642077179e-02
     3      7  1.0393758305105616e-04 -2.5103610279803620e-04
     3      8  1.5902106158204851e-05  6.6614006152893512e-06
     3      9 -2.2139070900047565e-04 -9.2824905742716537e-05
     3     10  5.4297742649979082e-05 -3.6265148699485240e-05
     3     11  5.6434490102291293e-05  6.3127189564318487e-05
     3     12 -7.8593248448500608e-04 -8.5474584432035600e-04
     3     13 -3.3974706839360583e-04  6.3301264921197226e-05
     3     14 -3.2390771478645446e-05  3.2574921233762197e-05
     3     15 -6.3976537884204046e-04  5.8400215615857622e-04
     3     16 -2.0662056349172547e-05  2.1671532580482719e-05
     3     17 -1.3293987819859758e-03 -9.4043063347880426e-04
     3     18  3.5342297733424254e-02  2.5753404623813238e-02
     3     19  2.4128073435751715e-05  2.4897269903621665e-05
     3     20  1.8678211803621783e-03 -1.8254261612898357e-03
     3     21  1.0072483456094051e-03  1.0326904902149805e-03
     3     22  5.9890915141771889e-02 -5.8909130207502131e-02
     3     23 -1.4986439276750566e-06 -1.9807102194390369e-06
     3     24 -4.3366907792502128e-04  2.7283249762993832e-04
     3     25 -1.0390332417649292e-02  6.5402397088552833e-03
     3     26  1.8656748555255042e-05  2.3123648934526234e-05
     3     27 -4.5395304629259042e-04  2.7103531698503781e-04
     3     28 -1.1193067995617714e-02  6.6828766791962174e-03
     4      1  8.5916874821469213e-04 -1.4701240506468157e-03
     4      2  4.3876187530447258e-06 -5.4356212475848455e-06
     4      3  1.3124166384629573e-05 -1.6264431880596890e-05
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5  9.8474752343054133e-07 -6.6367721717389165e-06
     4      6  2.8827467974521845e-06 -1.9639816421556353e-05
