# AMAT exchange matrix
# mode paw_orth_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -1.6502198890856780e-09  1.3966856148117386e-08
     1      3 -5.8235264813340075e-11  5.2427129047863281e-10
     1      4 -1.6583281772566173e-03 -3.4508757752650769e-05
     1      5 -1.5341999381071203e-09  8.1188039630828914e-09
     1      6  9.8327890522016231e-11  4.5348931815131002e-09
     1      7 -8.3128149955647903e-03 -1.7369262393653309e-04
     1      8 -1.2421789071640675e-06  4.9481382943658896e-05
     1      9  3.1788694015635711e-07 -1.2736978329187825e-05
     1     10 -3.5769906921838212e-04 -7.4884400187536927e-06
     1     11 -5.1003152680757381e-07 -4.2401824672544103e-06
     1     12  3.3922164909929464e-06  2.8191421444256756e-05
     1     13 -3.1151652136556039e-04 -1.4145946442180199e-04
     1     14 -8.7334998006243840e-06  1.1319891200481621e-06
     1     15  7.9875786113885308e-05 -1.4816837409447470e-05
     1     16 -1.6583176558846674e-03 -3.5010797983684981e-05
     1     17 -1.1995366365771480e-09 -8.1732778087262152e-09
     1     18  4.2219888957349603e-11 -4.8789429458538591e-09
     1     19 -8.3127919247594495e-03 -1.7479352467293703e-04
     1     20  8.3235658151109365e-07 -4.9490009958112543e-05
     1     21 -2.1535549909906518e-07  1.2739395699121318e-05
     1     22 -3.1717052100750052e-04  1.2828168547146843e-04
     1     23 -8.6784128339645021e-06 -1.4969565515177928e-06
     1     24  7.9185252948058924e-05  1.8150738258459506e-05
     1     25 -3.5769868938930160e-04 -7.5068609358508153e-06
     1     26 -6.8728494148754007e-07  4.2150718350433911e-06
     1     27  4.5697817808631751e-06 -2.8025169496268078e-05
     2      1 -1.6614910403200357e-09 -1.3965149958676620e-08
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -8.5960254378735210e-02  2.7631745822288313e-04
     2      4 -7.3068021566498053e-09  6.4373617728072142e-10
     2      5  2.8586482599742589e-05 -1.7438114330897878e-03
     2      6  3.4038589146476425e-05 -2.0762896497705107e-03
     2      7  4.2153179683962995e-05 -5.4834222315610159e-06
     2      8  1.0132830123158118e-03  8.0546753149190430e-03
     2      9  4.3929756009384322e-04  3.4904123002092420e-03
     2     10  4.3788338403289531e-06 -5.6975386236672097e-07
     2     11 -1.3890141893658871e-04 -5.0200380332986422e-04
     2     12 -2.7280999716712670e-04 -9.8595361466713612e-04
     2     13 -7.0089267379603056e-06 -2.9541499801392453e-06
     2     14  4.6944904882164002e-04 -1.8550020416635497e-04
     2     15 -9.4469858686566186e-04  3.5884093663715404e-04
     2     16  7.5639348982221422e-09 -1.2937721515187291e-09
     2     17 -4.7350553197987610e-04 -1.6785374641245601e-03
     2     18 -5.6378437254091967e-04 -1.9985705297443455e-03
     2     19 -4.2153691961469089e-05  5.4768008978349958e-06
     2     20  1.0798717620170628e-03  8.0460185221080255e-03
     2     21  4.6775372922340714e-04  3.4867133000241030e-03
     2     22  6.0209396643478308e-06 -4.6482118989993079e-06
     2     23 -5.0127435866851612e-04 -5.9302320619337959e-05
     2     24  1.0050470301136243e-03  1.0536835822095114e-04
     2     25 -4.3786144892903403e-06  5.6873782649399570e-07
     2     26  5.9286759503124415e-06 -5.2083229530708645e-04
     2     27  1.1648860065717790e-05 -1.0229343099130218e-03
     3      1 -5.6717861780725851e-11 -5.2449600128389512e-10
     3      2 -8.5960254378750559e-02 -2.7631745345674285e-04
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4 -4.1922256167909512e-09  3.3416228946711511e-09
     3      5  4.1084779936005748e-05 -2.0951737056352174e-03
     3      6  1.3495010534456196e-03 -6.8820049078546650e-02
     3      7  3.3996785500625351e-05 -4.3115601688449000e-06
     3      8  4.4451233436067336e-04  3.6276021209001559e-03
     3      9  1.4399006322838153e-02  1.1745229577738091e-01
     3     10  2.1855756660138534e-05 -2.7711868427194810e-06
     3     11 -2.9190274389496453e-04 -1.0683232994174463e-03
     3     12 -8.2663344599030013e-03 -3.0252975201446999e-02
     3     13 -2.2355761957340710e-05 -1.0124232695299539e-05
     3     14  1.0961431378196853e-03 -4.3009925431188218e-04
     3     15 -2.9074144902337465e-02  1.0925181460833298e-02
     3     16  4.8137450680867184e-09  2.2002819048151312e-09
     3     17 -5.6246003063111958e-04 -2.0186826221241924e-03
     3     18 -1.8475083670216483e-02 -6.6307553042121145e-02
     3     19 -3.3997592931323628e-05  4.3058094019502761e-06
     3     20  4.7450424792541392e-04  3.6238010557712386e-03
     3     21  1.5356569688221867e-02  1.1733093771440443e-01
     3     22  1.9123232479444844e-05 -1.5381103509084883e-05
     3     23 -1.1687821030480507e-03 -1.4305083240106261e-04
     3     24  3.0880384508711459e-02  3.3267614369144587e-03
     3     25 -2.1856151533576003e-05  2.7687062733759438e-06
     3     26  1.6163696240257848e-05 -1.1073665249958791e-03
     3     27  4.5789973889409337e-04 -3.1358653085299601e-02
     4      1 -1.6583281772565895e-03  3.4508757752695499e-05
     4      2 -7.3068021572503046e-09 -6.4373617970187101e-10
     4      3 -4.1922256167491165e-09 -3.3416228945386376e-09
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5 -1.3947663905642431e-08 -5.1331816383219530e-09
     4      6  1.7380056092067369e-09  1.6767965373584308e-10
     4      7 -3.5003322341946959e-04 -1.1548110888837740e-07
     4      8  8.5811662675505581e-07 -8.6777085404462263e-06
     4      9  2.1585073896697974e-06 -7.4442723392615777e-05
     4     10 -8.2711687826345463e-03 -1.0387622081040379e-06
     4     11 -6.9875223080293315e-06 -4.9404608293730839e-05
     4     12  2.1880961747325685e-06  1.5445850338034427e-05
     4     13  1.9645279425407013e-04  8.4265521453891372e-05
