# AMAT exchange matrix
# mode paw_orth_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -1.7666816145182233e-09  1.3655759310736106e-08
     1      3 -5.3995619759313395e-10  2.5556130535098599e-09
     1      4 -1.9438390658815775e-03 -4.0450377886898213e-05
     1      5 -1.4267175529826070e-09  8.2392143909106506e-09
     1      6 -2.0660767755800602e-09  4.0933998226874060e-09
     1      7 -8.5968318069183855e-03 -1.7962702340577124e-04
     1      8 -1.2655528817774018e-06  5.0418427663200145e-05
     1      9 -9.4906808824765159e-07  3.7947891767296157e-05
     1     10 -6.3949871457625988e-04 -1.3387988001549135e-05
     1     11 -6.4001619067738536e-07 -5.3210905571338152e-06
     1     12 -3.0214361781921339e-06 -2.5110688649837464e-05
     1     13 -5.6587308114884605e-04 -2.5688546522838039e-04
     1     14 -7.4399613789438575e-06  8.3450140301544980e-07
     1     15  2.3902642191096669e-05 -2.7631557706415723e-06
     1     16 -1.9438267418843598e-03 -4.1038283040542578e-05
     1     17 -1.0866285030733351e-09 -8.2990256921950334e-09
     1     18 -2.0879994808078051e-09 -4.8713252276069111e-09
     1     19 -8.5968079397430019e-03 -1.8076561343860487e-04
     1     20  8.4826210569375531e-07 -5.0427204694223496e-05
     1     21  6.4243781102834779e-07 -3.7953899848534526e-05
     1     22 -5.7614038956890149e-04  2.3294790400965035e-04
     1     23 -7.3984748517711641e-06 -1.1455561059018337e-06
     1     24  2.3766250504849810e-05  3.7628711647448554e-06
     1     25 -6.3949802058141066e-04 -1.3420857141430461e-05
     1     26 -8.6243345805266197e-07  5.2895812192818543e-06
     1     27 -4.0713375307235354e-06  2.4961388586388741e-05
     2      1 -1.7779527657535016e-09 -1.3654053121296186e-08
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -8.7709174832685616e-02  2.8194034223536516e-04
     2      4 -7.4333810424040006e-09  9.3065325087732977e-10
     2      5  2.9455844698083844e-05 -1.7968464268710725e-03
     2      6  6.2913193477037043e-05 -3.8376797061281907e-03
     2      7  4.2190658097334773e-05 -5.4879894445734930e-06
     2      8  1.0201233339837690e-03  8.1090495619212163e-03
     2      9  6.6237255189992501e-04  5.2628278803289151e-03
     2     10  4.4254759000922390e-06 -5.7550566871572215e-07
     2     11 -1.5416724998889011e-04 -5.5717579781167711e-04
     2     12 -7.5206251448848703e-04 -2.7179907151905370e-03
     2     13 -6.9387392607908212e-06 -2.9340367002815431e-06
     2     14  5.2574710812672287e-04 -2.0774787197390296e-04
     2     15 -2.6147484216219141e-03  9.9185110668464438e-04
     2     16  7.4503607600435233e-09 -1.0090964865869304e-09
     2     17 -4.8790635831060355e-04 -1.7295872697424706e-03
     2     18 -1.0420644611228997e-03 -3.6940282977111806e-03
     2     19 -4.2191403376726433e-05  5.4820082705553088e-06
     2     20  1.0871616084181231e-03  8.1003343291416695e-03
     2     21  7.0527826056098451e-04  5.2572504387460002e-03
     2     22  5.9579502677444764e-06 -4.6106538042913331e-06
     2     23 -5.6138948178573482e-04 -6.6415774754427503e-05
     2     24  2.7814363482067989e-03  2.9032614686588153e-04
     2     25 -4.4254908251696746e-06  5.7514377339685217e-07
     2     26  6.5802959873625634e-06 -5.7807362353406685e-04
     2     27  3.2110635666154021e-05 -2.8199365390613336e-03
     3      1 -5.3843879456089620e-10 -2.5558377643369568e-09
     3      2 -8.7709174832700965e-02 -2.8194033746922493e-04
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4 -4.6117332153598940e-09  3.3003495937373635e-10
     3      5  7.5985288755699241e-05 -3.8750658693281295e-03
     3      6  2.8034218322330754e-03 -1.4296510796631079e-01
     3      7  3.4724073410433787e-05 -4.4038686265318594e-06
     3      8  6.7080068800619687e-04  5.4743130653994313e-03
     3      9  2.3565054360475114e-02  1.9221949989910497e-01
     3     10  2.2714566666966358e-05 -2.8801064047382401e-06
     3     11 -8.1328629757685647e-04 -2.9764916041810064e-03
     3     12 -2.8279962337762504e-02 -1.0349847324895628e-01
     3     13 -2.1070672065762867e-05 -9.7567907043952489e-06
     3     14  3.0950593949412592e-03 -1.2126033393549973e-03
     3     15 -9.9903467436480806e-02  3.7511945700279575e-02
     3     16  4.5565247614521698e-09 -8.3182338952747208e-10
     3     17 -1.0402793470705096e-03 -3.7335945324667376e-03
     3     18 -3.8379692809745534e-02 -1.3774570935304215e-01
     3     19 -3.4724826861262099e-05  4.3978418839719255e-06
     3     20  7.1606155112454752e-04  5.4685768688428763e-03
     3     21  2.5132179019088752e-02  1.9202088825085781e-01
     3     22  1.7970512424697701e-05 -1.4704736912516800e-05
     3     23 -3.2997078508489024e-03 -4.0215371021146769e-04
     3     24  1.0610282785636196e-01  1.1403454956691995e-02
     3     25 -2.2714893563246931e-05  2.8774632009019451e-06
     3     26  4.5040239707363695e-05 -3.0852728002147417e-03
     3     27  1.5665225745509527e-03 -1.0728110852236739e-01
     4      1 -1.9438390658815497e-03  4.0450377886942929e-05
     4      2 -7.4333810430044882e-09 -9.3065325329854998e-10
     4      3 -4.6117332153289773e-09 -3.3003495924348151e-10
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5 -1.3857191493464874e-08 -5.0209679041364031e-09
     4      6 -1.4387438392834923e-09 -3.5539641124199061e-10
     4      7 -6.3354045907340921e-04 -1.3930708182995231e-07
     4      8  8.5431143074854819e-07 -7.7511777200591357e-06
     4      9  1.9497111333500069e-06 -2.4261395423276971e-05
     4     10 -8.5526552515812759e-03 -1.0738779636704838e-06
     4     11 -7.1382742334406366e-06 -5.0470420528957722e-05
     4     12 -5.2575158004655562e-06 -3.7167883468108097e-05
     4     13 -6.0177598667950849e-05 -2.5812210008955497e-05
     4     14  6.3942794977098403e-07 -1.6114715061622041e-07
     4     15 -1.3027204645627466e-05  3.0899497969915381e-06
     4     16 -7.5313495517583443e-05 -2.2741510312627535e-08
     4     17 -1.5814359252103798e-10 -1.1172267114827894e-09
     4     18 -1.5519406779341965e-09 -9.3426676566816164e-09
     4     19 -6.4085069264422734e-04 -1.3934093912500628e-07
     4     20 -2.1161415282163460e-08 -5.3098050980152034e-06
     4     21 -9.8775378433950177e-08 -2.5197629167768133e-05
     4     22 -7.5946087574870627e-03  3.2548679461858010e-03
     4     23  4.7774154305252122e-05  1.2055941707498933e-05
     4     24 -3.5432512775121832e-05 -8.4145845957843390e-06
     4     25 -2.3667878128993879e-05 -1.1094580192821328e-09
     4     26  6.3212452392896215e-08 -3.2337537559645009e-07
     4     27  7.8594880354384986e-07 -6.8390384959220687e-06
     5      1 -1.4267175537221786e-09 -8.2392143914558503e-09
     5      2  2.9455844698111599e-05  1.7968464268709892e-03
     5      3  7.5985288755697452e-05  3.8750658693281334e-03
     5      4 -1.3856996559898620e-08  5.0329980325258853e-09
     5      5  0.0000000000000000e+00  0.0000000000000000e+00
     5      6 -8.8287173238947303e-02 -3.5508966312078642e-08
     5      7  3.4273376557776403e-07  8.2297849513338365e-06
     5      8  5.7286591009128270e-04 -8.1639811907037216e-05
     5      9  2.8849566645467034e-03 -4.1196235580799671e-04
     5     10 -6.3098807313352167e-06 -4.2998448446441044e-05
     5     11 -7.8641543469811469e-03  2.3153849538072630e-03
     5     12 -5.1336307606797520e-03  1.5114776697867426e-03
     5     13  1.6400050570605585e-07 -6.1799767990715905e-07
     5     14 -2.5812414794784996e-05 -6.2310681028589064e-05
     5     15  5.9350249618369210e-04  1.4915814337653753e-03
     5     16 -1.5814359235772531e-10 -1.1172267112410438e-09
     5     17 -7.0133921066081425e-05  2.1031344695053038e-05
     5     18 -1.6683065953034210e-03  5.0028248547368686e-04
     5     19  6.5819400499630679e-07  4.4885799875630127e-06
     5     20  5.7119858932606134e-04 -8.6215051424910446e-05
     5     21  2.8207724348412876e-03 -4.2559388059740743e-04
     5     22  2.2280379074435761e-05  3.6283086807599850e-05
     5     23 -7.9210348186643635e-04  7.7855183759131556e-03
     5     24  4.4259823632165538e-04 -5.0537774436629299e-03
     5     25 -3.8403753122071531e-08 -3.3117075509147289e-07
     5     26 -2.8586174194749486e-05  1.0341381801144072e-07
     5     27 -9.6902752999040087e-04  3.8738590773846605e-06
     6      1 -2.0660767756169532e-09 -4.0933998226753126e-09
     6      2  6.2913193477035797e-05  3.8376797061281955e-03
     6      3  2.8034218322330971e-03  1.4296510796631076e-01
     6      4 -1.4388901846725058e-09  3.5382958452337726e-10
     6      5 -8.8287173238956268e-02  3.5513706388272851e-08
     6      6  0.0000000000000000e+00  0.0000000000000000e+00
     6      7  1.7147246346721660e-06  2.5468886187328083e-05
     6      8  2.9673566865414348e-03 -4.2358290371317947e-04
     6      9  1.0850493236892744e-01 -1.5478024818231868e-02
     6     10 -4.9787431213314553e-06 -3.3922508787381595e-05
     6     11 -5.5737390222805969e-03  1.6410378489390698e-03
     6     12 -1.8667488870063287e-01  5.4962137709494985e-02
     6     13  2.7933212028520927e-06 -1.0526129364612762e-05
     6     14 -7.2748400192078008e-04 -1.7561317415905869e-03
     6     15  2.3589299486898800e-02  5.9284235903785704e-02
     6     16 -1.5519406779477490e-09 -9.3426676566522515e-09
     6     17 -1.6683065953034210e-03  5.0028248547368632e-04
     6     18 -6.5754895303868077e-02  1.9718227961047156e-02
     6     19  3.4129561003096403e-06  2.3277762035283583e-05
     6     20  2.9015239450242130e-03 -4.3794963404247974e-04
     6     21  1.0608753451220172e-01 -1.6006369340994954e-02
     6     22  1.6041599154101686e-05  2.6122126397693390e-05
     6     23 -6.0702491245435118e-04  5.9664181069458942e-03
     6     24  1.6218213234644393e-02 -1.8518747489967360e-01
     6     25 -1.7203442222114008e-06 -8.2710875340634675e-06
     6     26 -1.0532089129293080e-03  4.2933033060965473e-06
     6     27 -3.9523231799613152e-02  1.8471907562186651e-04
     7      1 -8.5968318069182502e-03  1.7962702340573424e-04
     7      2  4.2190658097333655e-05  5.4879894445753006e-06
     7      3  3.4724073410433882e-05  4.4038686265317027e-06
     7      4 -6.3354045907346472e-04  1.3930708181221957e-07
     7      5  3.4273376557773994e-07 -8.2297849513334029e-06
     7      6  1.7147246346720275e-06 -2.5468886187328225e-05
     7      7  0.0000000000000000e+00  0.0000000000000000e+00
