# shape 27 27
# i j real imag
     1      1  3.7079426475868607e+00 -4.3887519421532925e-21
     1      2  6.7422467568761150e-11  1.4496505875766892e-11
     1      3  4.0251858465946812e-10 -2.0411204853246085e-09
     1      4  2.7106893454461440e-04  5.6411014120279704e-06
     1      5 -8.3090735849502662e-11 -8.6144326871628299e-11
     1      6  2.1721117381002699e-09  3.8102920637138858e-10
     1      7  2.6948811848909643e-04  5.6308834782466079e-06
     1      8 -6.8290371612464135e-09  2.7437023113556162e-07
     1      9 -1.9932488888577730e-07  7.8686924958747539e-06
     1     10  2.6718204056018258e-04  5.5934843062347555e-06
     1     11 -3.4936988473978508e-08 -2.8986841357683759e-07
     1     12 -9.7889862067832043e-07 -8.1578615394136542e-06
     1     13  2.4130628749487141e-04  1.0950383518857181e-04
     1     14  2.8567886890888993e-07 -6.5852287846101021e-08
     1     15 -8.0102481172416652e-06  1.7222200117125843e-06
     1     16  2.7106721996035543e-04  5.7225766583288816e-06
     1     17 -8.7786363309354035e-11  8.7356576246412617e-11
     1     18  2.1199961558369464e-09 -6.5626331835621944e-11
     1     19  2.6948737357995186e-04  5.6665453171050624e-06
     1     20  4.6808799613336570e-09 -2.7443097917461850e-07
     1     21  1.3082029015118937e-07 -7.8703164030378888e-06
     1     22  2.4563396489168617e-04 -9.9276324594757258e-05
     1     23  1.1908987254709566e-07  3.2875090361514897e-08
     1     24 -1.1081530861619071e-06 -2.8595266717184168e-07
     1     25  2.6718174478896890e-04  5.6072734477400260e-06
     1     26 -4.7068015985632819e-08  2.8815020774161314e-07
     1     27 -1.3203417493340501e-06  8.1097496640511729e-06
     2      1  6.7422467568219993e-11 -1.4496505875743362e-11
     2      2  1.7533040283706014e+00 -2.0904818241219887e-23
     2      3  1.6061015178308697e-03 -5.1631750071117766e-06
     2      4  6.9876289083395308e-11 -1.4323264655837832e-11
     2      5 -7.8968500972963458e-07  4.8172448263642899e-05
     2      6 -2.6610037017967221e-05  1.6232134532183705e-03
     2      7 -1.4270152140991893e-08  1.7996091696213585e-09
     2      8 -6.2227723083668498e-06 -4.9465579217628357e-05
     2      9 -2.0603774861775051e-04 -1.6370545858470982e-03
     2     10 -1.4459716297011116e-08  1.8148585875120155e-09
     2     11  1.3921078901324709e-05  5.0312086547874372e-05
     2     12  4.4404234871238505e-04  1.6047893984546466e-03
     2     13 -7.6831431359488502e-09 -2.1918489990474140e-09
     2     14 -5.1620115457633482e-05  2.0399035900280245e-05
     2     15  1.5575794091298950e-03 -5.9037881954739524e-04
     2     16  6.0811866338968959e-11 -1.2800122214746819e-11
     2     17  1.3080484893908859e-05  4.6369273634743224e-05
     2     18  4.4075973082710346e-04  1.5624535674319973e-03
     2     19  1.4390033846626584e-08 -1.9259582179754607e-09
     2     20 -6.6317601079862496e-06 -4.9412408515358443e-05
     2     21 -2.1938424441310335e-04 -1.6353196401490354e-03
     2     22 -1.0375850404014903e-09  5.9081821417007598e-10
     2     23  5.5105391789493753e-05  6.5206624112821494e-06
     2     24 -1.6564739539550594e-03 -1.7247246733095620e-04
     2     25  1.4582712266118300e-08 -1.9608775704363656e-09
     2     26 -5.9421120054890184e-07  5.2199129355153453e-05
     2     27 -1.8958792634360976e-05  1.6649815949993955e-03
     3      1  4.0251858464440971e-10  2.0411204853057856e-09
     3      2  1.6061015178308697e-03  5.1631750071118249e-06
     3      3  4.6017261359961772e+00  4.7866356245710836e-19
     3      4  1.6370352908042786e-10  2.6648452173091064e-09
     3      5 -3.2170105776737181e-05  1.6406255394577694e-03
     3      6 -1.3270631843156785e-03  6.7675749398021540e-02
     3      7 -1.2192289273338135e-07  1.5383630517927056e-08
     3      8 -2.0910361992650312e-04 -1.7064744981469418e-03
     3      9 -8.3883136724449033e-03 -6.8423246137598370e-02
     3     10 -1.3161931853498683e-07  1.6544294211785332e-08
     3     11  4.8324835232264640e-04  1.7686040097446021e-03
     3     12  1.8382676030688806e-02  6.7276571531138529e-02
     3     13 -2.1009046003571671e-08 -5.2400976307573890e-09
     3     14 -1.8639809607739249e-03  7.2968148245907566e-04
     3     15  6.5546239407242385e-02 -2.4603685951321549e-02
     3     16  4.3265949322316575e-10  2.6310284246164865e-09
     3     17  4.4043300324888830e-04  1.5807296368372449e-03
     3     18  1.8167891122683466e-02  6.5205030503365222e-02
     3     19  1.2186099614111439e-07 -1.5515993062868849e-08
     3     20 -2.2321447386212557e-04 -1.7046858853035738e-03
     3     21 -8.9461541323368251e-03 -6.8352548322318352e-02
     3     22  4.0374322675102149e-07 -2.3632542260246559e-07
     3     23  1.9867808745607776e-03  2.4157583010292919e-04
     3     24 -6.9600464603206250e-02 -7.4730571296904372e-03
     3     25  1.3151075983621935e-07 -1.6804197435554697e-08
     3     26 -2.6763543229792754e-05  1.8332410293379372e-03
     3     27 -1.0182788517782274e-03  6.9735378955398192e-02
     4      1  2.7106893454461445e-04 -5.6411014120279780e-06
     4      2  6.9876289082796804e-11  1.4323264655602544e-11
     4      3  1.6370352908908642e-10 -2.6648452172842599e-09
     4      4  3.7620700157251257e+00  1.1386064051837804e-21
     4      5 -8.5837164900309804e-11 -8.1374984084961925e-11
     4      6  2.8285335115747588e-09  2.2633949855286146e-10
     4      7  2.6912807904177398e-04  2.2645864253416944e-08
     4      8 -1.1183526219123397e-09  2.7417705304758434e-07
     4      9 -3.6196738203819883e-08  7.8563393042524725e-06
     4     10  2.6699459294650017e-04  3.3243699687174672e-08
     4     11 -4.0916276924070424e-08 -2.8878140276210124e-07
     4     12 -1.1456197948186517e-06 -8.1211811729251922e-06
     4     13  2.4354874935105723e-04  1.0446652948419256e-04
     4     14  2.8386217213833816e-07 -7.1686022754360500e-08
     4     15 -7.9581213838811746e-06  1.8843097924562696e-06
     4     16  2.7048697409692884e-04  8.1303952769836451e-08
     4     17 -8.4834472448040649e-11  9.3154820985842371e-11
     4     18  2.7333923002660214e-09 -4.5102556293389601e-10
     4     19  2.6889549195064429e-04  5.8211197775596952e-08
     4     20 -1.0327575703776094e-09 -2.7421387179541251e-07
     4     21 -3.3665860196822485e-08 -7.8533858400144397e-06
     4     22  2.4294877257561415e-04 -1.0412269969611213e-04
     4     23  1.2101243494077433e-07  3.0691626219068906e-08
     4     24 -1.1546064717621679e-06 -2.7154509153195077e-07
     4     25  2.6660171419191355e-04  4.6960495435381990e-08
     4     26 -4.1009051403111516e-08  2.8875381743136356e-07
     4     27 -1.1476911279295040e-06  8.1160342776240926e-06
     5      1 -8.3090735850773211e-11  8.6144326871769475e-11
     5      2 -7.8968500972963437e-07 -4.8172448263642899e-05
     5      3 -3.2170105776737201e-05 -1.6406255394577694e-03
     5      4 -8.5837164901533295e-11  8.1374984085464851e-11
     5      5  2.0007630732860591e+00  1.1952549656682955e-22
     5      6  1.6672829421079717e-03  1.1749051522864620e-09
     5      7  1.9295319603334730e-09  1.4199930329494441e-08
     5      8 -5.0604113862416517e-05  7.2104103469723706e-06
     5      9 -1.6857997847621257e-03  2.4030332877431339e-04
     5     10  1.9236226745294865e-09  1.4248678145226046e-08
     5     11  5.1567200029517258e-05 -1.5182555294468562e-05
     5     12  1.6557246259705689e-03 -4.8748883581229102e-04
     5     13 -2.0764484100731810e-09  7.3411736138043095e-09
     5     14  2.1978164310304978e-05  5.3055033671437050e-05
     5     15 -6.4105438645124498e-04 -1.6110907326517925e-03
     5     16 -8.4842129132345960e-11  9.3164059498303335e-11
     5     17  4.6762746901557242e-05 -1.4022899846574755e-05
     5     18  1.5825773313186339e-03 -4.7457371960080418e-04
     5     19 -2.2708391153958393e-09 -1.4426633168047523e-08
     5     20 -4.9860445561193965e-05  7.5258022900315940e-06
     5     21 -1.6563131220417608e-03  2.4990160672648472e-04
     5     22  7.3694952261394691e-11  3.5432824640605783e-10
     5     23  5.6595415785691626e-06 -5.5627259976060720e-05
     5     24 -1.4678357256300262e-04  1.6760350214597328e-03
     5     25 -2.3144838574266704e-09 -1.4642593907353127e-08
     5     26  5.2704618304868001e-05 -2.6396479933153768e-07
     5     27  1.6864249238644599e-03 -8.4406476031043791e-06
     6      1  2.1721117380897291e-09 -3.8102920635745958e-10
     6      2 -2.6610037017967269e-05 -1.6232134532183705e-03
     6      3 -1.3270631843156782e-03 -6.7675749398021540e-02
     6      4  2.8285335115491596e-09 -2.2633949855248499e-10
     6      5  1.6672829421079717e-03 -1.1749051522382752e-09
     6      6  4.8710232117146726e+00 -7.1841348761927454e-19
     6      7  1.7366100170850523e-08  1.1843682747721394e-07
     6      8 -1.7380363037426516e-03  2.4764738894347295e-04
     6      9 -6.9796883929207465e-02  9.9492887113120220e-03
     6     10  1.7970700574366129e-08  1.2286954465420386e-07
     6     11  1.8042870111108344e-03 -5.3122508463651619e-04
     6     12  6.8739365675862835e-02 -2.0238729501201307e-02
     6     13 -4.2681636510264366e-09  1.9421819327283186e-08
     6     14  7.8944499120307387e-04  1.9057070044652879e-03
     6     15 -2.6710936984262801e-02 -6.7129482723867248e-02
     6     16  2.7302958641291025e-09 -4.5041958456611921e-10
     6     17  1.5825774137506342e-03 -4.7457374465942798e-04
     6     18  6.5338253911604388e-02 -1.9593288362329375e-02
     6     19 -1.8628508137785026e-08 -1.2640984923262882e-07
     6     20 -1.7072741264214514e-03  2.5769317876389282e-04
     6     21 -6.8507833756500686e-02  1.0336386239461318e-02
     6     22 -2.5188869190474080e-07 -4.1183433827744322e-07
     6     23  2.0239202493256152e-04 -1.9893086721108843e-03
     6     24 -6.1048220350280362e-03  6.9707841516746291e-02
     6     25 -2.0361106673130016e-08 -1.3813133948151625e-07
     6     26  1.8367115854795255e-03 -9.1994511205069589e-06
     6     27  6.9914057754134520e-02 -3.4996640806524127e-04
     7      1  2.6948811848909643e-04 -5.6308834782466163e-06
     7      2 -1.4270152140991860e-08 -1.7996091696212408e-09
     7      3 -1.2192289273336552e-07 -1.5383630517944373e-08
     7      4  2.6912807904177404e-04 -2.2645864253418450e-08
     7      5  1.9295319603343672e-09 -1.4199930329494131e-08
     7      6  1.7366100170855794e-08 -1.1843682747719737e-07
     7      7  3.5629615270554784e+00 -5.0911998115778245e-21
     7      8 -1.0843949051280780e-09  2.8729865082682296e-07
     7      9 -3.2643374959044071e-08  7.9048964605629963e-06
     7     10  2.6613200464938784e-04  1.0727233365112075e-08
     7     11 -4.2864481778162118e-08 -3.0184195006217602e-07
     7     12 -1.1562915340954264e-06 -8.1679812312022357e-06
     7     13  2.4329006569035657e-04  1.0433129541896407e-04
     7     14  2.9710040988348557e-07 -7.5144721163551311e-08
     7     15 -8.0129927756604086e-06  1.9016506781981250e-06
     7     16  2.6889547945495150e-04  5.8207357140182951e-08
     7     17 -2.2708483675181346e-09 -1.4427146126818009e-08
     7     18 -1.8617503849125739e-08 -1.2638090444855495e-07
     7     19  2.6738345600284827e-04  3.5387094064714007e-08
     7     20 -9.2513875948073906e-10 -2.5811125245087359e-07
     7     21 -3.0511285197665153e-08 -7.6470757834436411e-06
     7     22  2.4197678376613988e-04 -1.0373023728629978e-04
     7     23  1.0817279014648068e-07  2.7523784133454831e-08
     7     24 -1.1040037997691970e-06 -2.6246466518182766e-07
     7     25  2.6527009989081129e-04  2.4401680081564680e-08
     7     26 -3.8689378353539407e-08  2.7204126296258938e-07
     7     27 -1.1191980801633448e-06  7.8982240492520460e-06
     8      1 -6.8290371612463664e-09 -2.7437023113556210e-07
     8      2 -6.2227723083668498e-06  4.9465579217628357e-05
     8      3 -2.0910361992650312e-04  1.7064744981469420e-03
     8      4 -1.1183526219128339e-09 -2.7417705304758418e-07
     8      5 -5.0604113862416517e-05 -7.2104103469723706e-06
     8      6 -1.7380363037426516e-03 -2.4764738894347295e-04
     8      7 -1.0843949051275604e-09 -2.8729865082682333e-07
     8      8  1.5334034760791948e+00  1.4036926163200832e-22
     8      9  1.8038691479747900e-03 -1.0525179442527717e-07
     8     10 -1.0542730435159442e-09 -2.8590911126972753e-07
     8     11 -5.5957487431267915e-05  8.1596698794160174e-06
     8     12 -1.8194810295299943e-03  2.6532185722879771e-04
     8     13  1.0962423228993212e-07 -2.5837370807128662e-07
     8     14 -1.5123921454562223e-05 -5.8935296740525622e-05
     8     15  4.3646960319092829e-04  1.8057485492734213e-03
     8     16 -1.0327618354646316e-09 -2.7420123052448023e-07
     8     17 -4.9860448716943336e-05  7.5258026024582329e-06
     8     18 -1.7072744042064970e-03  2.5769323131860346e-04
     8     19 -9.2507201587434570e-10 -2.5809951032398982e-07
     8     20  5.2042681343572146e-05 -4.3052694121958540e-07
     8     21  1.7478224394397546e-03 -1.4358839762040385e-05
     8     22 -1.0796504372447285e-07 -2.4920612522041197e-07
     8     23 -1.3855091524662065e-05  5.5907917442847501e-05
     8     24  3.9662471408853563e-04 -1.7024608561851790e-03
     8     25 -9.1537126634598495e-10 -2.5673111024405846e-07
     8     26 -5.3849136413928194e-05 -7.3978189009823881e-06
     8     27 -1.7403119023776824e-03 -2.3908987065095728e-04
     9      1 -1.9932488888576452e-07 -7.8686924958747573e-06
     9      2 -2.0603774861775048e-04  1.6370545858470982e-03
     9      3 -8.3883136724449033e-03  6.8423246137598370e-02
     9      4 -3.6196738203838703e-08 -7.8563393042524759e-06
     9      5 -1.6857997847621257e-03 -2.4030332877431328e-04
     9      6 -6.9796883929207465e-02 -9.9492887113120220e-03
     9      7 -3.2643374959043317e-08 -7.9048964605630116e-06
     9      8  1.8038691479747900e-03  1.0525179442527717e-07
