# AMAT exchange matrix
# mode paw_orth_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2  1.1757629716257638e-10  3.0863831993751586e-10
     1      3  5.0358451309553274e-10 -2.0728426106450928e-09
     1      4  2.8567667837851667e-04  5.9450712569755837e-06
     1      5 -1.0683154499724062e-10 -1.2017194781625302e-10
     1      6  2.2050747403837441e-09  4.6252958925663340e-10
     1      7  2.8418729788536523e-04  5.9379640190943592e-06
     1      8  2.3375347738880979e-08 -9.3712521715186982e-07
     1      9  1.2670353451291589e-06 -5.0689780418961038e-05
     1     10  2.8197847891934733e-04  5.9032922593512839e-06
     1     11  1.2999715221367363e-07  1.0809991832725536e-06
     1     12  6.4142814865583816e-06  5.3306991863801332e-05
     1     13  2.5453089209972812e-04  1.1550511308661169e-04
     1     14 -1.2936627869223855e-06  2.9751724964283539e-07
     1     15  5.5978146214918860e-05 -1.2054798764930526e-05
     1     16  2.8567487454817826e-04  6.0309854231115116e-06
     1     17 -1.1212335279650755e-10  1.2624220930366234e-10
     1     18  2.1767948424798241e-09  3.6702587804843967e-12
     1     19  2.8418650072496260e-04  5.9756727170797205e-06
     1     20 -1.5907581348336382e-08  9.3727448192746686e-07
     1     21 -8.5792077052125321e-07  5.0698174046234342e-05
     1     22  2.5914736254906623e-04 -1.0473795396657396e-04
     1     23 -1.2800601052890746e-06 -3.5143498322171171e-07
     1     24  5.5423922581695509e-05  1.4389188615209438e-05
     1     25  2.8197816387954010e-04  5.9177505548450936e-06
     1     26  1.7516476263707024e-07 -1.0745990740791725e-06
     1     27  8.6419503137937801e-06 -5.2991378214582118e-05
     2      1  1.1757629716177931e-10 -3.0863831993632487e-10
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3  1.7612670839896507e-03 -5.6625359321074104e-06
     2      4  1.2680247656517909e-10 -2.8738420969067739e-10
     2      5 -8.7463640862057138e-07  5.3356673464652293e-05
     2      6 -2.9078294626258911e-05  1.7738130941171281e-03
     2      7 -3.7664149007032448e-08  4.5936419228641866e-09
     2      8 -6.8820505851848246e-06 -5.4705980170952858e-05
     2      9 -2.2464707376884858e-04 -1.7849066718630775e-03
     2     10 -4.6855685689732399e-08  5.7806668806740958e-09
     2     11  1.5360113580802311e-05  5.5512744973745961e-05
     2     12  4.8263634059152915e-04  1.7442665089435108e-03
     2     13 -7.0418029863034936e-08 -2.0179054659044413e-08
     2     14 -5.6652736179348634e-05  2.2387825460462541e-05
     2     15  1.6818981052570681e-03 -6.3750105882828204e-04
     2     16  1.1401824902518968e-10 -2.8515154919339563e-10
     2     17  1.4488172169876603e-05  5.1359444427341819e-05
     2     18  4.8165333659525722e-04  1.7074157891946457e-03
     2     19  3.7898587778617803e-08 -5.2293700223989811e-09
     2     20 -7.3343218035495861e-06 -5.4647182774383573e-05
     2     21 -2.3919843418190176e-04 -1.7830149756908993e-03
     2     22  6.3196537086936995e-08 -3.7681182693769393e-08
     2     23  6.0493845809796311e-05  7.1582694978802912e-06
     2     24 -1.7889919773621339e-03 -1.8627002498983658e-04
     2     25  4.7091237317121758e-08 -6.4327250570406781e-09
     2     26 -6.5564584784360426e-07  5.7594858315409392e-05
     2     27 -2.0606297328139325e-05  1.8096903050736218e-03
     3      1  5.0358451309566209e-10  2.0728426106625873e-09
     3      2  1.7612670839896505e-03  5.6625359321074062e-06
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4  4.0670268310085258e-10  2.9479560368510292e-09
     3      5 -3.5146661252839545e-05  1.7924468752941076e-03
     3      6 -1.4642857562339011e-03  7.4673638023908126e-02
     3      7 -7.2550580504079074e-07  9.2107867098741397e-08
     3      8 -2.2788382447087182e-04 -1.8597318973805712e-03
     3      9 -9.2312601223589544e-03 -7.5299137316044776e-02
     3     10 -8.5708739850509903e-07  1.0869834575755931e-07
     3     11  5.2506968092147911e-04  1.9216588970386906e-03
     3     12  2.0156097620526059e-02  7.3766906126380635e-02
     3     13 -1.2833807521038557e-06 -3.6702266550067884e-07
     3     14 -2.0131335519067402e-03  7.8806961317301819e-04
     3     15  7.1335243461887896e-02 -2.6776668649910820e-02
     3     16  2.5376085383243347e-10  2.9672905715508779e-09
     3     17  4.8118965763325203e-04  1.7270082806499405e-03
     3     18  2.0046508830728227e-02  7.1947437975139694e-02
     3     19  7.2545814211836912e-07 -9.1782155227063038e-08
     3     20 -2.4326055786978875e-04 -1.8577831058175093e-03
     3     21 -9.8451581566310498e-03 -7.5221334107875001e-02
     3     22  1.1511695699845150e-06 -6.7553415443366800e-07
     3     23  2.1460819519710083e-03  2.6094571517410608e-04
     3     24 -7.5759743537211058e-02 -8.1343838693335793e-03
     3     25  8.5701871009002447e-07 -1.0854141435637667e-07
     3     26 -2.9080687233941507e-05  1.9918899063370325e-03
     3     27 -1.1165147158725230e-03  7.6462919802609650e-02
     4      1  2.8567667837851667e-04 -5.9450712569755676e-06
     4      2  1.2680247656508662e-10  2.8738420969060672e-10
     4      3  4.0670268311744624e-10 -2.9479560368256133e-09
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5 -9.2757356231500140e-11 -1.1289737375810677e-10
     4      6  3.1138970426596138e-09  5.0949283776526839e-10
