# AMAT exchange matrix
# mode paw_orth_only
# implementation full_grid_only
# response_basis TODO
# shape 28 28
# q_ext 0.000000000000 0.333333333333 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -8.2591794851636346e-06 -1.2364332103945968e-06
     1      3  3.6125220256464797e-05  5.4697685635765272e-06
     1      4  9.0783117998088827e-04  1.5533902114117845e-03
     1      5 -7.3501099473593282e-06  2.9619353203060129e-06
     1      6  3.6805957735617352e-05 -1.4829371639511176e-05
     1      7  3.6895249086410330e-06 -6.1176971044323480e-06
     1      8  9.9752291920269793e-05  6.0737222025647174e-05
     1      9 -4.8583379944655536e-05 -2.9584750199820376e-05
     1     10  4.7068631715181065e-05 -2.2083488431685659e-05
     1     11 -5.4628987636580028e-06 -8.3506399381388431e-06
     1     12 -1.5846818310737371e-04 -2.3496549912262903e-04
     1     13  6.5398695584511810e-05 -2.0848756643593867e-06
     1     14 -3.2602521215698203e-05  2.6650101096397151e-05
     1     15 -5.1145064133955047e-04  4.1847491777760462e-04
     1     16 -1.4274787484588477e-03  1.1058452071090359e-03
     1     17 -4.6578053627953913e-06 -4.4791071332240042e-06
     1     18 -3.2774645735639542e-05 -3.2419218936012646e-05
     1     19  4.9053590494398799e-03  6.8778417983658170e-03
     1     20 -3.3720011033624009e-05  2.4264030435666848e-05
     1     21  1.0070308307310290e-03  1.4024053023365510e-03
     1     22 -4.9935313576285816e-05  3.6173279210391895e-05
     1     23 -2.2640396859340762e-04  4.0831408490651341e-04
     1     24 -1.4202335358394335e-05  7.1340065506517208e-06
     1     25  6.4151479575793367e-06 -1.0885091391164129e-07
     1     26  2.4543383077469983e-04  4.2013268297820311e-04
     1     27 -3.1288022830753287e-06  1.2790991699389767e-06
     1     28  4.8347978520225422e-05 -1.9762303314827564e-05
     2      1 -8.2591907531587470e-06  1.2364349161062712e-06
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -8.8236260073862358e-02  5.0755073121985439e-06
     2      4  5.6902926479108828e-06  7.0493315437327760e-06
     2      5 -1.5032363615015308e-03  8.8744662697930654e-04
     2      6 -1.7202962329566412e-03  1.0155990625846574e-03
     2      7  5.5847397761275173e-05 -1.3490924373096177e-04
     2      8 -6.7008990433429608e-06 -2.8070120689525937e-06
     2      9 -4.2515371979051262e-05 -1.7812865434534933e-05
     2     10  3.3832464941253870e-05 -2.2599672576532376e-05
     2     11  6.9861321119283922e-06  7.8135957370227853e-06
     2     12 -1.2875521605949620e-04 -1.3999887642917583e-04
     2     13 -1.4790067875870779e-05  2.7286007174916657e-06
     2     14 -3.4275249618406582e-06  3.8776948678915186e-06
     2     15 -1.0091936190975687e-04  1.0940076412570103e-04
     2     16 -7.1663336274114221e-06  7.5181602867007754e-06
     2     17 -1.4291947799583682e-03 -1.0109051422284934e-03
     2     18  1.5924694421532652e-03  1.1602693317534327e-03
     2     19  3.5064846336123364e-05  3.6178096695268659e-05
     2     20  5.8019032977473517e-03 -5.6708627866386835e-03
