# shape 27 27
# i j real imag
     1      1  2.7891638815866218e+00 -8.3610797298140395e-11
     1      2  7.0490589182337210e-11  7.7098617351111994e-10
     1      3  2.2671649421928144e-09 -6.4081060689277007e-11
     1      4 -1.6022538459354652e-03 -3.3341880283339574e-05
     1      5 -1.4605016625571499e-09  7.7523517615531003e-09
     1      6 -4.6174606723991879e-10  6.7920661908528400e-09
     1      7 -7.9938392910844751e-03 -1.6702773542595544e-04
     1      8 -1.2170434979182162e-06  4.8477567641644413e-05
     1      9 -7.1830283175585596e-07  2.8648320378816190e-05
     1     10 -3.5046739206553258e-04 -7.3370952584466328e-06
     1     11 -5.9198333595246580e-07 -4.9211276717327761e-06
     1     12 -2.2115808801857495e-06 -1.8395417938588542e-05
     1     13 -3.0498747757054436e-04 -1.3850397764515781e-04
     1     14 -6.7674331869272077e-06  7.2495772150227952e-07
     1     15  1.9124275999168858e-05 -1.7680769247162659e-06
     1     16 -1.6022436800413342e-03 -3.3826968890109620e-05
     1     17 -1.1270736853723081e-09 -7.6898822099723143e-09
     1     18  1.5726130039093914e-10 -2.4916833532848360e-09
     1     19 -7.9938171081516164e-03 -1.6808646770507653e-04
     1     20  8.1540947123080706e-07 -4.8486141493761962e-05
     1     21  4.8360788381061574e-07 -2.8657947871763667e-05
     1     22 -3.1052336928232829e-04  1.2560236785088375e-04
     1     23 -6.7309876801237022e-06 -1.0078561687653065e-06
     1     24  1.9028999825191411e-05  2.5663944405004040e-06
     1     25 -3.5046702454278038e-04 -7.3550561415121832e-06
     1     26 -7.9772064149509480e-07  4.8921187487023080e-06
     1     27 -2.9820334586354022e-06  1.8290942168984502e-05
     2      1  6.0848233972561233e-11 -7.6952655426829763e-10
     2      2  8.3723342676512758e-01 -7.6361830439144208e-11
     2      3 -7.7749460096672260e-02  2.4992806369413721e-04
     2      4 -7.1148105909770456e-09  8.1779809175139176e-10
     2      5  2.6813324288460443e-05 -1.6356469308179385e-03
     2      6  2.8802779384844213e-05 -1.7569301904875236e-03
     2      7  4.7087507303430443e-05 -6.1249191446216015e-06
     2      8  9.4933003098997531e-04  7.5463072423844740e-03
     2      9  3.8138537640107332e-04  3.0302726779459456e-03
     2     10  4.7601972625001266e-06 -6.1919046088188100e-07
     2     11 -1.2863253195461051e-04 -4.6489093265681493e-04
     2     12 -2.0505904570062856e-04 -7.4109646947291552e-04
     2     13 -5.7220395540018878e-06 -2.5468398916355384e-06
     2     14  4.3513648279587080e-04 -1.7192486642909655e-04
     2     15 -7.0584323452611039e-04  2.6820009126038013e-04
