# AMAT exchange matrix
# mode pw_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2  1.3512985955881800e-10  7.1529843867874635e-10
     1      3 -2.9161769209304583e-10  1.3895371969017225e-09
     1      4 -1.8682324518568116e-03 -3.8877039366236014e-05
     1      5 -1.3132234419111536e-09  7.7271482150418208e-09
     1      6 -1.9981720210650164e-09  4.2275515035744873e-09
     1      7 -8.2582146489643370e-03 -1.7255176608961992e-04
     1      8 -1.2170116959094274e-06  4.8477577990426933e-05
     1      9 -7.1634196102359907e-07  2.8650370162161036e-05
     1     10 -6.1249608370928888e-04 -1.2822681262386306e-05
     1     11 -5.9191835590386672e-07 -4.9212620081427861e-06
     1     12 -2.2138680809738079e-06 -1.8397239932900547e-05
     1     13 -5.4170455886136696e-04 -2.4592524763009566e-04
     1     14 -6.7673157599465395e-06  7.2507697828074460e-07
     1     15  1.9122502479786225e-05 -1.7655691758507245e-06
     1     16 -1.8682206074634876e-03 -3.9442073895905467e-05
     1     17 -9.9276046627902564e-10 -7.7743284569104756e-09
     1     18 -1.9555334176341655e-09 -4.6850124618960600e-09
     1     19 -8.2581917261574378e-03 -1.7364550581661393e-04
     1     20  8.1543126960191960e-07 -4.8486029992869756e-05
     1     21  4.8529516007366937e-07 -2.8655197741250209e-05
     1     22 -5.5153382147279007e-04  2.2301005655034546e-04
     1     23 -6.7309911263370224e-06 -1.0080373300289391e-06
     1     24  1.9031717037520266e-05  2.5657120048804016e-06
     1     25 -6.1249542186535733e-04 -1.2854164254618037e-05
     1     26 -7.9762365367770570e-07  4.8921324394281724e-06
     1     27 -2.9831581429525132e-06  1.8288080183769921e-05
     2      1  1.2548750434913909e-10 -7.1383881943524172e-10
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -7.9519504701057897e-02  2.5561851449337720e-04
     2      4 -6.9781333475577129e-09  8.9690816613426392e-10
     2      5  2.7680587978772756e-05 -1.6885534218314833e-03
     2      6  5.8096470016036969e-05 -3.5438650205561130e-03
     2      7  4.7087600308846237e-05 -6.1247787075986703e-06
     2      8  9.5616696925253830e-04  7.6006547735265788e-03
     2      9  6.0796121971616059e-04  4.8305082882461655e-03
     2     10  4.7603256803775759e-06 -6.1904070120074116e-07
     2     11 -1.4393689590707709e-04 -5.2020227661089824e-04
     2     12 -6.9285189025381714e-04 -2.5040008213964592e-03
     2     13 -5.7219552762615701e-06 -2.5467005160979965e-06
     2     14  4.9199651456956054e-04 -1.9439460256998804e-04
     2     15 -2.4141208430988803e-03  9.1569933346734257e-04
     2     16  6.9899436184711667e-09 -9.2320040651589152e-10
     2     17 -4.5850104031178477e-04 -1.6253478633405278e-03
     2     18 -9.6228351325142289e-04 -3.4112116346658367e-03
     2     19 -4.7088403499512300e-05  6.1184722614948883e-06
     2     20  1.0190022894013180e-03  7.5924859398652849e-03
     2     21  6.4734282235101766e-04  4.8253889679926798e-03
     2     22  4.8806323875334039e-06 -3.9250689177899384e-06
     2     23 -5.2534651402012182e-04 -6.2135943368633401e-05
