# AMAT exchange matrix
# mode pw_only
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -6.3732000021027759e-11  5.3242541642068760e-11
     1      3  2.5756642076268611e-09 -1.4932851995379382e-09
     1      4  2.6613653806585667e-04  5.5384465923552429e-06
     1      5 -1.4656680726076377e-10  2.5322289913992035e-11
     1      6  1.5754492570861367e-09  2.5806910537315148e-09
     1      7  2.6453779164982509e-04  5.5274267293728636e-06
     1      8 -3.2649353599238916e-11 -4.2423087293269232e-12
     1      9 -2.0056911296176227e-09 -1.8734916061143446e-09
     1     10  2.6219914674529556e-04  5.4891548030185563e-06
     1     11 -6.4131603327191372e-11  1.2840329759193988e-10
     1     12  2.3066939508035651e-09  1.6561883162930865e-09
     1     13  2.3688363001571434e-04  1.0749684997916240e-04
     1     14 -1.1845542475561506e-10 -1.1806666000614248e-10
     1     15  1.8246298487351880e-09 -2.5568898047325768e-09
     1     16  2.6613485841611576e-04  5.6184394323970960e-06
     1     17 -1.3350993983244413e-10  8.4793043732339164e-11
     1     18  2.1562437183044688e-09  2.2000776220017314e-09
     1     19  2.6453705102124926e-04  5.5624528029151803e-06
     1     20 -2.2436939716528616e-11 -1.1809247625679947e-10
     1     21 -1.7262690045506009e-09 -2.9494188715956881e-09
     1     22  2.4118002137485435e-04 -9.7476221312375503e-05
     1     23  3.0449801651437863e-12  1.8003901638129095e-10
     1     24 -2.6894231070866579e-09  7.3141082617264703e-10
     1     25  2.6219885159042280e-04  5.5026865250500461e-06
     1     26 -9.6403664929018404e-11 -7.2282951913532963e-12
     1     27  1.1364263056411805e-09  3.0496620907952638e-09
     2      1 -6.3732000021733576e-11 -5.3242541642779076e-11
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3  1.7814242358464817e-03 -5.7269981213893029e-06
     2      4 -1.3644020276190947e-10 -7.9519168658392856e-11
     2      5 -8.7220840915602336e-07  5.3208072951555552e-05
     2      6 -2.9481612466755464e-05  1.7983962151890936e-03
     2      7 -8.7725595719282554e-11 -1.3900163986375469e-10
     2      8 -6.8760251090028192e-06 -5.4658259909952356e-05
     2      9 -2.2802400545283551e-04 -1.8117420793432469e-03
     2     10 -1.2430137483408204e-10 -1.4919162013907125e-10
     2     11  1.5392639724658176e-05  5.5630384929320624e-05
     2     12  4.9090778864565514e-04  1.7741620045617428e-03
     2     13 -8.4813383204814079e-11 -1.3992531532113717e-10
     2     14 -5.7193411741759590e-05  2.2601477920163645e-05
     2     15  1.7192157740258467e-03 -6.5164517261775089e-04
     2     16 -1.1206512809003151e-10 -8.2507810513409678e-11
     2     17  1.4447816094704217e-05  5.1216407658669007e-05
     2     18  4.8832815028180686e-04  1.7310788190025913e-03
     2     19 -1.7554145547222856e-10 -1.2738325391414642e-10
     2     20 -7.3279302360098685e-06 -5.4599509205902904e-05
     2     21 -2.4279448318678565e-04 -1.8098219114662836e-03
     2     22 -1.6056360601958447e-10 -3.8737771892330766e-11
     2     23  6.1071173544972215e-05  7.2265946623123678e-06
     2     24 -1.8286855939430456e-03 -1.9040309159459911e-04
     2     25 -1.4625227707821549e-10 -1.4684488766777608e-10
     2     26 -6.5702865105410749e-07  5.7716902978912259e-05
     2     27 -2.0959671071616452e-05  1.8407069663336506e-03
     3      1  2.5756642076479931e-09  1.4932851995705004e-09
     3      2  1.7814242358464817e-03  5.7269981213893597e-06
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4 -6.5743795997860194e-10  2.3657923422295740e-09
     3      5 -3.5621797999988575e-05  1.8166835662781595e-03
     3      6 -1.4505780722566630e-03  7.3974593090086194e-02
     3      7  1.3368168718135799e-09 -1.8774763586540906e-10
     3      8 -2.3145073736426035e-04 -1.8888445085717971e-03
     3      9 -9.1571766867042121e-03 -7.4694841145007379e-02
     3     10  1.1484773160800109e-09 -8.4623754002354339e-10
     3     11  5.3451505731791902e-04  1.9562298972840425e-03
     3     12  2.0040499128570425e-02  7.3343841226725298e-02
     3     13 -3.7238491873489586e-10  1.3836439527409230e-10
     3     14 -2.0608345597848601e-03  8.0674290281628879e-04
     3     15  7.1297540184832670e-02 -2.6762516135660920e-02
     3     16  1.1566156776024930e-09  2.1358473472393060e-09
