# shape 27 27
# i j real imag
     1      1  3.7079375047805421e+00 -1.1093871637996058e-22
     1      2 -6.4639270376480788e-11  5.5687734832373550e-11
     1      3  2.5587826342858602e-09 -1.4536182575909995e-09
     1      4  2.6597860592134629e-04  5.5351590828964399e-06
     1      5 -1.4727822064599633e-10  2.5203546511279502e-11
     1      6  1.5364259538250976e-09  2.5645146872783523e-09
     1      7  2.6437535787986215e-04  5.5240306636644769e-06
     1      8 -3.1802008788720118e-11 -1.0348782522744683e-11
     1      9 -1.9608707322568438e-09 -2.0497833448454672e-09
     1     10  2.6202869164375630e-04  5.4855860039396727e-06
     1     11 -6.4980048599060595e-11  1.3433641000999235e-10
     1     12  2.2872007880583942e-09  1.8219943120054715e-09
     1     13  2.3671708129082263e-04  1.0742126998493785e-04
     1     14 -1.1742698066778988e-10 -1.1925677846504378e-10
     1     15  1.7735193826311247e-09 -2.5077488655414058e-09
     1     16  2.6597692742215336e-04  5.6151050057958477e-06
     1     17 -1.3431321909328248e-10  8.4446246938160548e-11
     1     18  2.1127947180251047e-09  2.1933291086112240e-09
     1     19  2.6437461800582154e-04  5.5590381115374063e-06
     1     20 -2.1798371112513761e-11 -1.1150089220817156e-10
     1     21 -1.6872762630535809e-09 -2.7501305134566748e-09
     1     22  2.4101045219046178e-04 -9.7407688699461701e-05
     1     23  3.4462133198045396e-12  1.8116126363257372e-10
     1     24 -2.7172123288536536e-09  6.8243562000265184e-10
     1     25  2.6202839732257694e-04  5.4991081131058542e-06
     1     26 -9.6987817389130387e-11 -1.3690725864028434e-11
     1     27  1.1246843171108330e-09  2.8619852145825942e-09
     2      1 -6.4639270376577852e-11 -5.5687734833055884e-11
     2      2  1.7533087429813123e+00  1.1591487455593321e-23
     2      3  1.7700446043856408e-03 -5.6904507992399864e-06
     2      4 -1.3667724341933262e-10 -7.9110074382872156e-11
     2      5 -8.6726369031231200e-07  5.2906491013544830e-05
     2      6 -2.9293690631192757e-05  1.7869348300685894e-03
     2      7 -9.3005415792568474e-11 -1.4043702293146700e-10
     2      8 -6.8369382625630091e-06 -5.4347531142104575e-05
     2      9 -2.2657584331508730e-04 -1.8002356103002199e-03
     2     10 -1.2841787744913769e-10 -1.4975968113983454e-10
     2     11  1.5304363952466568e-05  5.5311343954083313e-05
     2     12  4.8779284455318858e-04  1.7629043519235437e-03
     2     13 -8.4277740317678009e-11 -1.3937553754177584e-10
     2     14 -5.6860031773689759e-05  2.2469736140891481e-05
     2     15  1.7082776085727699e-03 -6.4749924220696244e-04
     2     16 -1.1236908422235147e-10 -8.2105536169900141e-11
     2     17  1.4365927436318326e-05  5.0926114303888586e-05
     2     18  4.8521602054994668e-04  1.7200464540901956e-03
     2     19 -1.7151093876908580e-10 -1.3005850521245922e-10
     2     20 -7.2862709341707261e-06 -5.4289115220472603e-05
     2     21 -2.4125252661929601e-04 -1.7983276519209651e-03
     2     22 -1.6185388395618149e-10 -3.7562807730925633e-11
     2     23  6.0715191608300546e-05  7.1844703119601618e-06
     2     24 -1.8170509863700657e-03 -1.8919165243207206e-04
     2     25 -1.4325028987030195e-10 -1.4837785685792370e-10
     2     26 -6.5325930540032062e-07  5.7385896593547419e-05
     2     27 -2.0826633491186371e-05  1.8290270915719306e-03
     3      1  2.5587826342990364e-09  1.4536182575925054e-09
     3      2  1.7700446043856408e-03  5.6904507992399864e-06
     3      3  4.6075792016715313e+00 -7.8604898750924637e-20
     3      4 -6.4809737915897422e-10  2.4245827772298688e-09
     3      5 -3.5394846589009691e-05  1.8051081503980440e-03
     3      6 -1.4412157780575310e-03  7.3497147445110711e-02
     3      7  1.2765026321665556e-09 -2.0331167627589566e-10
     3      8 -2.2998147789802791e-04 -1.8768536022152561e-03
     3      9 -9.0983714086660429e-03 -7.4215168097454806e-02
     3     10  1.1071253963055517e-09 -8.3990920176416449e-10
     3     11  5.3112325735179156e-04  1.9438164959133229e-03
     3     12  1.9912125055439968e-02  7.2874020213880494e-02
     3     13 -3.4951254751949436e-10  2.0778104206755628e-10
     3     14 -2.0477089512973921e-03  8.0160472868937623e-04
     3     15  7.0840398474360355e-02 -2.6590921678405526e-02
     3     16  1.1622203341789950e-09  2.1951099377870326e-09
     3     17  4.8458854521726591e-04  1.7392073398842123e-03
     3     18  1.9730674048798177e-02  7.0813898961176569e-02
     3     19 -1.3570819060431682e-09  1.3039427451260817e-10
     3     20 -2.4550049796418140e-04 -1.8748867775441578e-03
     3     21 -9.7034321298469055e-03 -7.4138484884246750e-02
     3     22  3.2860742745500952e-10  1.5011135420493439e-10
     3     23  2.1829407493020327e-03  2.6542752616510291e-04
     3     24 -7.5234206227269299e-02 -8.0779564746405394e-03
     3     25 -1.3519755395713942e-09 -5.2834820549873615e-10
     3     26 -2.9415314950935614e-05  2.0148571218241164e-03
     3     27 -1.1030002093362454e-03  7.5537400894023290e-02
     4      1  2.6597860592134629e-04 -5.5351590828964416e-06
     4      2 -1.3667724341874442e-10  7.9110074382872156e-11
     4      3 -6.4809737916989146e-10 -2.4245827772343864e-09
     4      4  3.7620649782117401e+00 -6.9470331169034589e-23
     4      5 -1.6762976740089520e-10 -4.5878699126998803e-11
     4      6  2.6067901633447070e-09 -6.1450643179507602e-10
     4      7  2.6406783940510005e-04  2.2207995918129552e-08
     4      8 -2.9489001802531129e-12  6.6639653050983796e-11
     4      9 -2.6467071117203463e-09  1.2803009976338508e-09
     4     10  2.6189338489737246e-04  3.2608648994943705e-08
     4     11 -9.9867761688997138e-11  5.7451312135306341e-11
     4     12  2.5286818743926838e-09 -1.6311216268200188e-09
     4     13  2.3895969236385799e-04  1.0249813830514264e-04
     4     14 -3.7307679544528360e-11 -1.6500023555164115e-10
     4     15 -1.7412294742681075e-09 -2.4261528850318711e-09
     4     16  2.6544051110680513e-04  7.9786476840061168e-08
     4     17 -1.7198352608439126e-10  2.3853300993107646e-11
     4     18  2.2646957267665448e-09 -1.1653157149990710e-09
     4     19  2.6381990397910803e-04  5.7121110744812463e-08
     4     20  1.5044511497912477e-12 -3.8768266244329333e-11
     4     21 -2.4380463360928464e-09  4.9238439328813622e-10
     4     22  2.3837437500799191e-04 -1.0216222011956262e-04
     4     23 -6.8296964611838530e-11  1.6976983144001957e-10
     4     24 -1.6263512246982232e-11  2.2757245780162627e-09
     4     25  2.6147276071512068e-04  4.6052614546441645e-08
     4     26 -1.0554554801821629e-10 -8.6832061629256486e-11
     4     27  2.4144420993952040e-09 -1.1909464606821839e-10
     5      1 -1.4727822064609045e-10 -2.5203546511101565e-11
     5      2 -8.6726369031231242e-07 -5.2906491013544830e-05
     5      3 -3.5394846589009643e-05 -1.8051081503980440e-03
     5      4 -1.6762976740103636e-10  4.5878699127437021e-11
     5      5  2.0007678283774135e+00 -1.9545487159771678e-22
     5      6  1.8313588520185130e-03  1.8225292890650190e-09
