# AMAT exchange matrix
# mode pw_only
# implementation full_grid_only
# response_basis TODO
# shape 28 28
# q_ext 0.000000000000 0.333333333333 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  0.0000000000000000e+00  0.0000000000000000e+00
     1      2 -6.9384417417608711e-06 -1.0496872789315017e-06
     1      3  1.7713198611894585e-05  2.6823091954399249e-06
     1      4  8.7710574944562360e-04  1.5008160005800279e-03
     1      5 -6.1635196956882731e-06  2.4837713460578577e-06
     1      6  1.8578467396304708e-05 -7.4844806402577370e-06
     1      7 -2.3092862622844739e-07  3.8231983161862476e-07
     1      8  9.3512216174553215e-05  5.6937754247834695e-05
     1      9 -9.5132958414363656e-05 -5.7931810006311914e-05
     1     10  3.7170939490409539e-05 -1.7439834376268408e-05
     1     11 -5.0172371629212762e-06 -7.6693802848139782e-06
     1     12 -1.7730266532284256e-04 -2.6289261600908752e-04
     1     13  5.4338455239586486e-05 -1.7205572035934482e-06
     1     14 -3.0416691447011255e-05  2.4864012157574112e-05
     1     15 -5.1209276373616948e-04  4.1903003155895812e-04
     1     16 -1.3791759386876650e-03  1.0684257742326520e-03
     1     17 -3.9232333459470016e-06 -3.7726993907150440e-06
     1     18 -1.8248814788655235e-05 -1.8051885488460781e-05
     1     19  4.7172386605828518e-03  6.6140768435393685e-03
     1     20 -3.3526024621562524e-05  2.4124702720621115e-05
     1     21  1.0601950028358931e-03  1.4764433813341665e-03
     1     22 -4.0091013285254210e-05  2.9041856049099868e-05
     1     23 -2.2075628025083167e-04  3.9814537770278369e-04
     1     24 -1.2092888854071799e-05  6.1632449000826471e-06
     1     25  7.9692154165765083e-06 -8.3029398598715762e-07
     1     26  2.3938241453376577e-04  4.0977393593283015e-04
     1     27 -1.9119006733920065e-06  7.8163920314994587e-07
     1     28  3.9187306551982491e-05 -1.6017685262981355e-05
     2      1 -6.9384513814337811e-06  1.0496887381447089e-06
     2      2  0.0000000000000000e+00  0.0000000000000000e+00
     2      3 -7.9765995827419181e-02  4.5815596000035748e-06
     2      4  4.7910386386290822e-06  5.9353482325533423e-06
     2      5 -1.4089104093657073e-03  8.3176059113474756e-04
     2      6 -1.4169701113030228e-03  8.3652578419564491e-04
     2      7  5.2469084490038259e-05 -1.2674850046391772e-04
     2      8 -7.4926628019696015e-06 -3.1386373895497518e-06
     2      9 -6.2204029199434431e-05 -2.6061917204979739e-05
     2     10  3.1418353189709463e-05 -2.0987173219489978e-05
     2     11  6.7022180189017105e-06  7.4959741046536426e-06
     2     12 -1.2070347750580498e-04 -1.3124438198568021e-04
     2     13 -1.4459546841542741e-05  2.6687988025783972e-06
     2     14 -3.4093233641187110e-06  3.8379683939911450e-06
     2     15 -9.7444172461245992e-05  1.0504591775380669e-04
     2     16 -6.0190948887849782e-06  6.3145661609558103e-06
     2     17 -1.3390554538364454e-03 -9.4714737785453246e-04
     2     18  1.3073118320329992e-03  9.5250518429824830e-04
     2     19  3.7659853702077786e-05  3.8855288227197649e-05
     2     20  5.4352925593806672e-03 -5.3125321936295673e-03
     2     21  2.5511925861064369e-04  2.6153000496729106e-04
     2     22  2.1494093644501833e-03 -2.1144161050152569e-03
     2     23 -1.0383690167552509e-06  2.6132194687275324e-07
     2     24 -3.8869109152129833e-04  2.4505510809757504e-04
     2     25 -5.3534143572150071e-04  3.3675870956613734e-04
     2     26  7.2507306914134304e-06  8.9856375435648748e-06
     2     27 -4.0864339895025525e-04  2.4401413394804799e-04
     2     28 -5.5017181755561079e-04  3.2852440708875177e-04
     3      1  1.7713199928904508e-05 -2.6823093924467357e-06
     3      2 -7.9765995827436847e-02 -4.5815547481477285e-06
     3      3  0.0000000000000000e+00  0.0000000000000000e+00
     3      4 -6.2841197217037348e-06 -7.7821956178638121e-06
     3      5 -1.4859548018745358e-03  8.7712747896563333e-04
     3      6 -4.3234530945416752e-02  2.5520702207360559e-02
     3      7  1.5744042779080729e-04 -3.8026311625065736e-04
     3      8  4.7219647852399368e-07  1.9745386785437657e-07
     3      9 -3.9005610655554451e-04 -1.6350507666855561e-04
     3     10  1.7654160448532334e-04 -1.1791324586417850e-04
     3     11  8.3295806534066551e-05  9.3173610928423570e-05
     3     12 -1.0712167636830994e-03 -1.1649820394586451e-03
     3     13 -2.2638056918697130e-04  4.2147438688757793e-05
     3     14 -5.3054014924693152e-05  5.5755550634794106e-05
     3     15 -8.7470151545725660e-04  8.5477018105528917e-04
     3     16 -4.4868036653727267e-06  4.7041380699609914e-06
     3     17 -1.4952347342824439e-03 -1.0577438184891607e-03
     3     18  3.9992952517267005e-02  2.9142267398415515e-02
     3     19  4.4017644875954485e-06  4.5427419710391656e-06
     3     20  2.0753781884887135e-03 -2.0282740243726081e-03
     3     21  1.2296070933773828e-03  1.2606716667556209e-03
     3     22  6.6945462502734032e-02 -6.5848033036196602e-02
     3     23  9.5528306194552316e-06 -3.4361550245413705e-05
     3     24 -5.2456061139415913e-04  3.2996659271222317e-04
     3     25 -1.3086803008544062e-02  8.2378507399331821e-03
     3     26 -5.6071205629451176e-07 -6.9650245530432553e-07
     3     27 -5.3827438275925467e-04  3.2138055348741629e-04
     3     28 -1.3600534622270233e-02  8.1202665659712708e-03
     4      1  8.7710574944558121e-04 -1.5008160005799370e-03
     4      2  4.7910386386285867e-06 -5.9353482325532601e-06
     4      3 -6.2841197217037738e-06  7.7821956178637816e-06
     4      4  0.0000000000000000e+00  0.0000000000000000e+00
     4      5  1.0535570970609767e-06 -7.1788730301216379e-06
     4      6 -1.7535652390736358e-06  1.1923829412671144e-05
     4      7  2.4992576713607148e-05  4.6030496806706523e-05
     4      8  3.5143509241649377e-05 -1.8952930478079847e-05
     4      9  6.1447063008154270e-04 -3.3174005965808757e-04
     4     10 -1.4499304349335493e-08  1.6433081490035582e-07
     4     11  1.1119952993414377e-04 -5.6132581090406276e-06
     4     12  7.8482818217527096e-05 -5.0650803183993447e-06
     4     13 -2.4750379505808332e-05  4.5818766172144989e-05
     4     14 -4.4747328382725197e-06 -2.8297177123864773e-05
     4     15 -7.5254972784338794e-05 -4.7591427871666262e-04
     4     16  8.4200545159225980e-06  6.4290611594795596e-05
     4     17  5.7677064970188634e-06 -1.6340599581772719e-06
     4     18  1.7359735031418209e-05 -4.6533102297576360e-06
     4     19 -4.7749793149482757e-04  4.3405980761016761e-05
     4     20  2.7032285616751504e-07  2.8411320905953531e-06
     4     21  5.6151912526313658e-04 -5.2863726456441496e-05
     4     22 -3.0554038620810020e-06 -3.1081835782154506e-05
     4     23 -3.9735272894685352e-03 -6.6981231704050159e-03
     4     24 -4.5816329795639077e-06  3.9096202634871447e-05
     4     25 -5.3196331671392764e-06  4.5362638664437535e-05
     4     26  1.1545279794404162e-04  2.3476155067828474e-08
     4     27  1.1180722097221735e-06 -7.8398163910593513e-06
     4     28 -1.8041925077331213e-06  9.1001615435773238e-06
     5      1 -6.1635196956872880e-06 -2.4837713460570175e-06
     5      2 -1.4089104093657058e-03 -8.3176059113473791e-04
     5      3 -1.4859548018745302e-03 -8.7712747896563029e-04
     5      4  1.0535572717902104e-06  7.1788832704126809e-06
     5      5  0.0000000000000000e+00  0.0000000000000000e+00
     5      6 -8.2866623846492363e-02  3.0890033462777345e-07
     5      7 -1.1454411336518817e-05  8.5956528015002999e-06
     5      8 -3.0374520694276329e-06 -3.9598864518185329e-06
     5      9 -8.4389136481269951e-05 -1.1652702203625753e-04
     5     10  1.4147786054562953e-04 -7.8774427874514707e-06
     5     11  2.2223753277846960e-06  1.1177804938972413e-05
     5     12 -1.7756430431451560e-05 -8.3179924722071334e-05
     5     13 -4.0512408403512622e-06 -1.4763965273506146e-06
     5     14 -8.6461750846748821e-06  2.6998442211862297e-06
     5     15 -2.2373870406532976e-04  6.9862145093075619e-05
     5     16 -8.0574060462817920e-06  2.2824432145238812e-06
     5     17 -3.2042203876959215e-06 -7.1389962289597172e-06
     5     18 -1.6281878350722580e-04 -3.7684833281155625e-04
     5     19  2.6095882913869098e-06  1.0828915082044025e-05
     5     20  4.6640557967327848e-04 -1.1447233330644016e-04
     5     21  8.1740581960243355e-05  3.3447030118420845e-04
     5     22  6.5790027485636239e-04 -1.6371768356166318e-04
     5     23 -4.0781139537917653e-05  3.3061728969320956e-05
     5     24 -7.2603472167272389e-03  2.1162030939071380e-04
     5     25 -2.9424941436075433e-03  8.5766538014188558e-05
     5     26  8.8571958673713143e-07  6.0282623219193962e-06
     5     27  3.6787468234139428e-05 -2.1732769700509791e-07
     5     28  1.2069827316168273e-03 -6.8393287804410252e-06
