# shape 27 27
# i j real imag
     1      1  2.7888852987386246e+00 -8.4247621231562889e-11
     1      2  1.9601517453534620e-10  1.0197654320170592e-09
     1      3  7.7219214431861011e-10 -5.7699527624096481e-10
     1      4 -1.6213357452549591e-03 -3.3738947547134012e-05
     1      5 -1.6550068149894098e-09  9.0503794785244211e-09
     1      6  1.8165784533540238e-11  5.2515976129332042e-09
     1      7 -8.0858971279081041e-03 -1.6895119049337135e-04
     1      8 -1.1905467506352305e-06  4.7428170483090217e-05
     1      9 -1.0447450506188944e-06  4.1675464804414260e-05
     1     10 -3.5411464102875128e-04 -7.4134344309686836e-06
     1     11 -6.4018128789571523e-07 -5.3218187450758452e-06
     1     12 -3.6273699178975121e-06 -3.0167843958885688e-05
     1     13 -3.0804713896313683e-04 -1.3989925857304532e-04
     1     14 -7.1097520102644872e-06  8.3725098616612041e-07
     1     15  1.3610689844060117e-05 -5.6854674320847819e-07
     1     16 -1.6213254583938466e-03 -3.4229816091500693e-05
     1     17 -1.2744772288212258e-09 -9.0658824157974991e-09
     1     18  2.3841828542646072e-10 -4.0292492365783883e-09
     1     19 -8.0858746871477569e-03 -1.7002218500674837e-04
     1     20  7.9790898032395843e-07 -4.7436485591065179e-05
     1     21  7.0327276682097006e-07 -4.1684136990523752e-05
     1     22 -3.1363879756980152e-04  1.2686824034785122e-04
     1     23 -7.0683900903888341e-06 -1.1344210172585229e-06
     1     24  1.3573751971511798e-05  1.1378238282731992e-06
     1     25 -3.5411426881467759e-04 -7.4315906222830769e-06
     1     26 -8.6265214361881226e-07  5.2903552437651729e-06
     1     27 -4.8893022137330784e-06  2.9990450555425491e-05
     2      1  1.9601517453534620e-10 -1.0197654320170592e-09
     2      2  8.3683976255360926e-01 -7.6153848658692324e-11
     2      3 -7.6703184862290802e-02  2.4657225004245053e-04
     2      4 -8.3883394375140133e-09  1.0575265171935861e-09
     2      5  2.7398278048607367e-05 -1.6713320345642594e-03
     2      6  2.9502823026540023e-05 -1.7996831423518396e-03
     2      7  4.1153811198227139e-05 -5.3530739621367812e-06
     2      8  9.6741085066246878e-04  7.6900327896971682e-03
     2      9  3.8720258496648179e-04  3.0764828654112168e-03
     2     10  4.2932164934986130e-06 -5.5837830465106689e-07
     2     11 -1.3287400233428614e-04 -4.8021989953958051e-04
     2     12 -2.2045041611533096e-04 -7.9671775709722807e-04
     2     13 -6.8004699585584387e-06 -2.7968700996129375e-06
     2     14  4.4838392448553116e-04 -1.7711065535521721e-04
     2     15 -7.5284501923807493e-04  2.8595183381910366e-04
     2     16  8.4917906868206888e-09 -1.1399239896711208e-09
     2     17 -4.5382486361587252e-04 -1.6087710946356784e-03
     2     18 -4.8867692868006629e-04 -1.7323173840796979e-03
     2     19 -4.1154443385817874e-05  5.3473209773538122e-06
     2     20  1.0309849593564090e-03  7.6817679111494067e-03
     2     21  4.1228344080858576e-04  3.0732227427444940e-03
     2     22  5.8594198952181788e-06 -4.4427394035151931e-06
