# shape 27 27
# i j real imag
     1      1  2.7886135998564918e+00 -8.4247473195217831e-11
     1      2  1.2629685390907589e-10  1.0078035461114186e-09
     1      3  3.9356543842102235e-10  1.4647995901081547e-09
     1      4 -1.8923646786031378e-03 -3.9379214709981155e-05
     1      5 -1.5728162334947948e-09  9.1374729145606978e-09
     1      6 -2.1546763923998070e-09  4.8928896364141068e-09
     1      7 -8.3553382284267553e-03 -1.7458108605591629e-04
     1      8 -1.1838681313288465e-06  4.7159826203650383e-05
     1      9 -8.5211630039548202e-07  3.4074003746985699e-05
     1     10 -6.2123583428454036e-04 -1.3005642153929913e-05
     1     11 -6.0588049617402744e-07 -5.0372467770091501e-06
     1     12 -2.6758692913570055e-06 -2.2237813022765553e-05
     1     13 -5.4927257032703284e-04 -2.4936639763405464e-04
     1     14 -7.3901769364173367e-06  9.0189324496380062e-07
     1     15  2.1418392494151879e-05 -2.2471686356402477e-06
     1     16 -1.8923526817332514e-03 -3.9951545555194645e-05
     1     17 -1.1875958911514714e-09 -9.1549752956079211e-09
     1     18 -1.8707454381536906e-09 -3.9411266365502238e-09
     1     19 -8.3553150349075390e-03 -1.7568773820922368e-04
     1     20  7.9333054449365539e-07 -4.7168093570596597e-05
     1     21  5.7695838821011147e-07 -3.4081212699296924e-05
     1     22 -5.5923937653753098e-04  2.2613106893308848e-04
     1     23 -7.3458554084918274e-06 -1.2107854693326180e-06
     1     24  2.1304095716450785e-05  3.1428226781456872e-06
     1     25 -6.2123516329477054e-04 -1.3037580593718628e-05
     1     26 -8.1644182562987173e-07  5.0074701593602886e-06
     1     27 -3.6059035606386004e-06  2.2107306899367983e-05
     2      1  1.2629685390907589e-10 -1.0078035461114186e-09
     2      2  8.3679204589469913e-01 -7.6153749972718288e-11
     2      3 -7.8321515474413808e-02  2.5177464969291494e-04
     2      4 -8.4600995499971417e-09  1.0685445725849218e-09
     2      5  2.8193118542145666e-05 -1.7198188762716381e-03
     2      6  5.6313893180920394e-05 -3.4351543065325092e-03
     2      7  4.1179898095147377e-05 -5.3564101048485943e-06
     2      8  9.7367462110855803e-04  7.7398243068853134e-03
     2      9  5.9481258892443863e-04  4.7260303721550585e-03
     2     10  4.3195511618057040e-06 -5.6173708840813734e-07
     2     11 -1.4688725671565072e-04 -5.3086512816051686e-04
     2     12 -6.6789448861828877e-04 -2.4138014757231108e-03
     2     13 -6.7802424415274542e-06 -2.7911343342186845e-06
     2     14  5.0033838580391802e-04 -1.9764181275120561e-04
     2     15 -2.3220025406378297e-03  8.8071907912063059e-04
     2     16  8.4289617538100145e-09 -1.1303087252482309e-09
     2     17 -4.6699071362729270e-04 -1.6554429927071795e-03
     2     18 -9.3276496673908905e-04 -3.3065698412020040e-03
     2     19 -4.1180653790279715e-05  5.3507833103192953e-06
     2     20  1.0376604169051789e-03  7.7315059077958529e-03
     2     21  6.3334177727428849e-04  4.7210220456230644e-03
     2     22  5.8412024311736309e-06 -4.4319432985409898e-06
     2     23 -5.3424136981324803e-04 -6.3142289932472141e-05
