# shape 27 27
# i j real imag
     1      1  3.7079426136286564e+00  8.2942918805890820e-22
     1      2  6.9718318786894142e-11  1.1961882461866467e-11
     1      3  3.7862670584500110e-10 -2.0417948666048883e-09
     1      4  2.7102893334817575e-04  5.6402671628471745e-06
     1      5 -8.2190581561292396e-11 -8.7093436045838640e-11
     1      6  2.1728421769427590e-09  3.5870797655763747e-10
     1      7  2.6944110051866819e-04  5.6298955625418638e-06
     1      8 -6.6786193065559407e-09  2.6834427943946292e-07
     1      9 -1.9262875022336282e-07  7.6014610574284399e-06
     1     10  2.6712119325575839e-04  5.5922077229697276e-06
     1     11 -3.4300791721687364e-08 -2.8457196806679771e-07
     1     12 -9.5150062654033551e-07 -7.9300309361200617e-06
     1     13  2.4122543136389135e-04  1.0946713906099700e-04
     1     14  2.8042492615291919e-07 -6.4642258797869541e-08
     1     15 -7.8077026500917971e-06  1.6786218924316515e-06
     1     16  2.7102722333941117e-04  5.7217294637232692e-06
     1     17 -8.6881337755369358e-11  8.9092879819083265e-11
     1     18  2.1091637236320320e-09 -8.8122599996801102e-11
     1     19  2.6944034775979987e-04  5.6655532024629550e-06
     1     20  4.5784358303914657e-09 -2.6839202046864232e-07
     1     21  1.2631437861083447e-07 -7.6029242912267827e-06
     1     22  2.4560057896772940e-04 -9.9262828585245608e-05
     1     23  2.7746531810297614e-07  7.6364452074024452e-08
     1     24 -7.7303437449391281e-06 -2.0049988498724573e-06
     1     25  2.6712089448009907e-04  5.6059899714425081e-06
     1     26 -4.6210317988980270e-08  2.8288508440483423e-07
     1     27 -1.2833986530944346e-06  7.8831436560575313e-06
     2      1  6.9718318786894142e-11 -1.1961882461866467e-11
     2      2  1.7533043423750490e+00  6.0718721012936977e-22
     2      3  1.6183306121230090e-03 -5.2023996504773180e-06
     2      4  7.1760112492736207e-11 -1.1018055322008308e-11
     2      5 -7.9484049354446773e-07  4.8486841707366176e-05
     2      6 -2.6811070154380102e-05  1.6354711641806702e-03
     2      7 -2.6086896920089126e-08  3.3361427117401546e-09
     2      8 -6.2637704460984293e-06 -4.9791517188163130e-05
     2      9 -2.0761000395795769e-04 -1.6495475067438393e-03
     2     10 -2.6334668307167092e-08  3.3587837572395089e-09
     2     11  1.4013254381343749e-05  5.0645228620914721e-05
     2     12  4.4744407250295884e-04  1.6170837186258824e-03
     2     13 -2.0227517031058196e-08 -5.7357653944093788e-09
     2     14 -5.1954461318396031e-05  2.0531157395970501e-05
     2     15  1.5691575213997531e-03 -5.9476724530152796e-04
     2     16  6.2828933023694255e-11 -9.6152644547652111e-12
     2     17  1.3165850011437142e-05  4.6671898071513336e-05
     2     18  4.4408803805902369e-04  1.5742524571223046e-03
     2     19  2.6210404461597332e-08 -3.4623329656516887e-09
     2     20 -6.6754575488086111e-06 -4.9737996646421867e-05
     2     21 -2.2105833646570160e-04 -1.6477993028785700e-03
     2     22  1.8217464044403637e-08 -1.0796104974069782e-08
     2     23  5.5477013663721682e-05  6.5646382066776083e-06
     2     24 -1.6690724498721980e-03 -1.7378431411736644e-04
     2     25  2.6460730892141880e-08 -3.5050804394673833e-09
     2     26 -5.9814798714106640e-07  5.2544765876638561e-05
     2     27 -1.9104136762861492e-05  1.6777370067702563e-03
     3      1  3.7862670584500110e-10  2.0417948666048883e-09
     3      2  1.6183306121230090e-03  5.2023996504773180e-06
     3      3  4.6023749406161603e+00  5.1102756935431490e-19
     3      4  1.5273657193499357e-10  2.7816820376948435e-09
     3      5 -3.2413194798322888e-05  1.6530263191070150e-03
     3      6 -1.3398248935546366e-03  6.8326553383409164e-02
     3      7 -9.6777741167990081e-08  1.2123440870457301e-08
     3      8 -2.1071589750672906e-04 -1.7196329019640243e-03
     3      9 -8.4696814852437928e-03 -6.9086961161831953e-02
     3     10 -1.0210094051486742e-07  1.2733832769699863e-08
     3     11  4.8704282071920286e-04  1.7824910427929833e-03
     3     12  1.8561510253436751e-02  6.7931065605524824e-02
     3     13 -5.8011106777034531e-09 -6.9761009665153583e-10
     3     14 -1.8783659392091724e-03  7.3531261132166886e-04
     3     15  6.6164541310892291e-02 -2.4835774120090560e-02
     3     16  4.7254158341042794e-10  2.7411108187086989e-09
     3     17  4.4376194765534285e-04  1.5926776071297465e-03
     3     18  1.8342602424616664e-02  6.5832073971992242e-02
     3     19  9.6668816466176346e-08 -1.2393381614797938e-08
     3     20 -2.2493578340954400e-04 -1.7178307247341172e-03
     3     21 -9.0329329320932468e-03 -6.9015576700493270e-02
     3     22  5.3788277037310530e-09 -2.0848593132137929e-09
     3     23  2.0024141360599590e-03  2.4347661515870095e-04
     3     24 -7.0268333501715227e-02 -7.5447667641392923e-03
     3     25  1.0197573885173605e-07 -1.3130245949495870e-08
     3     26 -2.6973724819096874e-05  1.8476356358061348e-03
     3     27 -1.0281850668218556e-03  7.0413792464865094e-02
     4      1  2.7102893334817575e-04 -5.6402671628471745e-06
     4      2  7.1760112492736207e-11  1.1018055322008308e-11
     4      3  1.5273657193499357e-10 -2.7816820376948435e-09
     4      4  3.7620699689637056e+00 -7.0155452753835967e-21
     4      5 -8.4280227302072931e-11 -8.2783942715713487e-11
     4      6  2.9458539456133489e-09  2.1792523189243801e-10
     4      7  2.6907325900184080e-04  2.2637824317679933e-08
     4      8 -1.0930249281965677e-09  2.6790854549904903e-07
     4      9 -3.5143946598793315e-08  7.5788865079021052e-06
     4     10  2.6692466517062006e-04  3.3234674095983393e-08
     4     11 -4.0136551083997481e-08 -2.8327007162632640e-07
     4     12 -1.1119358953374920e-06 -7.8839232561223739e-06
     4     13  2.4345621533936827e-04  1.0442683775034973e-04
     4     14  2.7829886558300972e-07 -7.0280730042506991e-08
     4     15 -7.7454612320865115e-06  1.8337469172920436e-06
     4     16  2.7044136685182746e-04  8.1288996493639241e-08
     4     17 -8.3299110787179595e-11  9.4333393336960165e-11
     4     18  2.8393766092012402e-09 -4.9273638448827022e-10
     4     19  2.6884333590732675e-04  5.8198465428376195e-08
     4     20 -1.0095651356533467e-09 -2.6801463069344553e-07
     4     21 -3.2692696159893969e-08 -7.5768588688723810e-06
     4     22  2.4291125921733052e-04 -1.0410661795249187e-04
     4     23  2.7853642986671378e-07  7.0440270770830370e-08
     4     24 -7.7437089238865186e-06 -1.8362977895193267e-06
     4     25  2.6653616761802753e-04  4.6944227496813004e-08
     4     26 -4.0230144352442836e-08  2.8326053307817117e-07
     4     27 -1.1139600483398677e-06  7.8789248063454917e-06
     5      1 -8.2190581561292396e-11  8.7093436045838640e-11
     5      2 -7.9484049354446773e-07 -4.8486841707366176e-05
     5      3 -3.2413194798322888e-05 -1.6530263191070150e-03
     5      4 -8.4280227302072931e-11  8.2783942715713487e-11
     5      5  2.0007633873989721e+00  5.8471597702413330e-22
     5      6  1.6796877276756828e-03  1.2550103326120482e-09
     5      7  3.6944686618465792e-09  2.6243015687794290e-08
     5      8 -5.0929440022908565e-05  7.2567616954983529e-06
     5      9 -1.6984255927278745e-03  2.4210300818156713e-04
     5     10  3.6995168351747611e-09  2.6368465712309003e-08
     5     11  5.1898947575676870e-05 -1.5280227784562082e-05
     5     12  1.6681159929282524e-03 -4.9113710274639928e-04
     5     13 -5.5177802773721092e-09  2.0322540846553889e-08
     5     14  2.2116260173005847e-05  5.3388400552753154e-05
     5     15 -6.4570601605300779e-04 -1.6227813465380036e-03
     5     16 -8.3299110788179553e-11  9.4333393357824232e-11
     5     17  4.7064851544889170e-05 -1.4113491367356856e-05
     5     18  1.5945084504329053e-03 -4.7815147722129174e-04
     5     19 -4.0322624916115220e-09 -2.6419645492707287e-08
     5     20 -5.0185869110453834e-05  7.5749221886379841e-06
     5     21 -1.6689414738557272e-03  2.5180687723024643e-04
     5     22 -1.1323969181688125e-08 -1.8213116947141736e-08
     5     23  5.6973468449880781e-06 -5.5998847829029301e-05
     5     24 -1.4789918598388780e-04  1.6887728815459732e-03
     5     25 -4.0888444934581639e-09 -2.6722008993795886e-08
     5     26  5.3050968160174056e-05 -2.6569899126255962e-07
     5     27  1.6993563991412114e-03 -8.5053001418581876e-06
     6      1  2.1728421769427590e-09 -3.5870797655763747e-10
     6      2 -2.6811070154380102e-05 -1.6354711641806702e-03
     6      3 -1.3398248935546366e-03 -6.8326553383409164e-02
     6      4  2.9458539456133489e-09 -2.1792523189243801e-10
     6      5  1.6796877276756828e-03 -1.2550103326120482e-09
     6      6  4.8716750388432457e+00 -1.4735897613581199e-19
     6      7  1.4143389769175817e-08  9.6974685241076312e-08
     6      8 -1.7511770190844103e-03  2.4951967384790192e-04
     6      9 -7.0460234211044151e-02  1.0043846854737117e-02
     6     10  1.4053561464761986e-08  9.6652671500948582e-08
     6     11  1.8181114099237923e-03 -5.3529533255846718e-04
     6     12  6.9391361836663071e-02 -2.0430694831221809e-02
     6     13 -1.5688567260726786e-09  9.9399163318959916e-09
     6     14  7.9538307293330716e-04  1.9200416032345664e-03
     6     15 -2.6956143601738036e-02 -6.7745731878396817e-02
     6     16  2.8393766093371419e-09 -4.9273638385723067e-10
     6     17  1.5945084504329092e-03 -4.7815147722129049e-04
     6     18  6.5964623530512759e-02 -1.9781120730979512e-02
     6     19 -1.5360944094362054e-08 -1.0366786309601051e-07
     6     20 -1.7204177774488728e-03  2.5967716340009243e-04
     6     21 -6.9171220912941089e-02  1.0436477334073182e-02
     6     22 -2.8600485377738002e-10 -2.5097288034494497e-09
     6     23  2.0398338269297391e-04 -2.0049509656158873e-03
     6     24 -6.1634038003936520e-03  7.0376756528929857e-02
     6     25 -1.6542682528495222e-08 -1.1163557922452420e-07
     6     26  1.8511414586078320e-03 -9.2716920539592101e-06
     6     27  7.0594509934878813e-02 -3.5337253418605820e-04
     7      1  2.6944110051866819e-04 -5.6298955625418638e-06
     7      2 -2.6086896920089126e-08 -3.3361427117401546e-09
     7      3 -9.6777741167990081e-08 -1.2123440870457301e-08
     7      4  2.6907325900184080e-04 -2.2637824317679933e-08
     7      5  3.6944686618465792e-09 -2.6243015687794290e-08
     7      6  1.4143389769175817e-08 -9.6974685241076312e-08
     7      7  3.5629614631394224e+00 -1.1432014559368600e-21
     7      8 -1.1073683685821509e-09  2.9342156039346029e-07
     7      9 -3.1320699749406014e-08  7.6017532814104214e-06
     7     10  2.6605096357086772e-04  1.0727239397081026e-08
     7     11 -4.3877816856432755e-08 -3.0896859436453728e-07
     7     12 -1.1195147817834830e-06 -7.9076679811448785e-06
     7     13  2.4318342372602414e-04  1.0428556696841783e-04
     7     14  3.0460660802343423e-07 -7.7039802241399642e-08
     7     15 -7.7776714125871592e-06  1.8458767788904597e-06
     7     16  2.6884333590732610e-04  5.8198465428388622e-08
     7     17 -4.0322624916145983e-09 -2.6419645492730054e-08
     7     18 -1.5360944094655690e-08 -1.0366786309665247e-07
     7     19  2.6732474997769436e-04  3.5382306362577314e-08
     7     20 -8.4515987128642658e-10 -2.3922261789421185e-07
     7     21 -2.9355495055264684e-08 -7.3789080648440110e-06
     7     22  2.4193206391184875e-04 -1.0371105644612736e-04
     7     23  2.4710381159889321e-07  6.2573224048570251e-08
     7     24 -7.5086594122280843e-06 -1.7830504196166052e-06
     7     25  2.6519836636518457e-04  2.4395058716743348e-08
     7     26 -3.6059606639927582e-08  2.5344457014139058e-07
     7     27 -1.0857982402419899e-06  7.6619118098819487e-06
     8      1 -6.6786193065559407e-09 -2.6834427943946292e-07
     8      2 -6.2637704460984293e-06  4.9791517188163130e-05
     8      3 -2.1071589750672906e-04  1.7196329019640243e-03
