# AMAT exchange matrix
# mode qext_both
# implementation full_grid_only
# response_basis TODO
# shape 28 28
# q_ext 0.000000000000 0.333333333333 0.000000000000
# vasp_storage 0
# i j real imag
     1      1  3.5724767346338040e+00 -8.4240367765565593e-11
     1      2 -7.2940873313091790e-06 -1.1032058851722977e-06
     1      3  3.0575861911618132e-05  4.6286878205701342e-06
     1      4  8.8697695283128310e-04  1.5177066663158321e-03
     1      5 -6.4570085460735475e-06  2.6020349676619623e-06
     1      6  3.1008786679010269e-05 -1.2493492400921729e-05
     1      7  8.3371017673588933e-07 -1.3828089188738732e-06
     1      8  9.6815122425301464e-05  5.8948792118760963e-05
     1      9 -1.0932583308523863e-04 -6.6574447403595159e-05
     1     10  4.1477553381811406e-05 -1.9460346356429811e-05
     1     11 -5.6496599277439959e-06 -8.6360231832931318e-06
     1     12 -1.8876255305890106e-04 -2.7988416277194598e-04
     1     13  5.9632390333547264e-05 -1.9051152805166096e-06
     1     14 -3.0693572776152766e-05  2.5093572128029396e-05
     1     15 -5.3210270479648019e-04  4.3543126639066475e-04
     1     16 -1.3941807944164828e-03  1.0800497366865523e-03
     1     17 -3.9935765549057006e-06 -3.8403246830495745e-06
     1     18 -2.8256300095505044e-05 -2.7950007145577527e-05
     1     19  4.7714107835008400e-03  6.6900320593248049e-03
     1     20 -3.2243690539678786e-05  2.3201941508741210e-05
     1     21  9.2493148339218385e-04  1.2880747589361767e-03
     1     22 -5.8974605256199972e-05  4.2722173295203940e-05
     1     23 -2.2313757277410184e-04  4.0244890425268913e-04
     1     24 -1.2870092501229299e-05  6.4686078834506894e-06
     1     25  2.3565194538866555e-05 -7.6109228961590883e-06
     1     26  2.4188751606203646e-04  4.1406217881515196e-04
     1     27 -2.0333483095517698e-06  8.3128412258910272e-07
     1     28  6.0088782151270147e-05 -2.4562152458408091e-05
     2      1 -7.2940873313091790e-06  1.1032058851722977e-06
     2      2  1.6205672972816365e+00 -7.6150098571688363e-11
     2      3 -7.8674962455272363e-02  4.5081408981606161e-06
     2      4  5.0475124144042091e-06  6.2531248568957702e-06
     2      5 -1.4401271782905727e-03  8.5018963650181111e-04
     2      6 -1.4708014052424482e-03  8.6830472654344723e-04
     2      7  5.3772072446615960e-05 -1.2989620188922710e-04
     2      8 -5.5315472168089856e-06 -2.3171193916780515e-06
     2      9 -2.5888556335988176e-05 -1.0846673333893415e-05
     2     10  3.2113943706076597e-05 -2.1451900230647011e-05
     2     11  5.9562664027795811e-06  6.6616651765823538e-06
     2     12 -1.0849991406490400e-04 -1.1797424744980409e-04
     2     13 -1.4726112021514644e-05  2.7209449222435065e-06
     2     14 -2.9105451000176251e-06  3.2740222060391471e-06
     2     15 -8.7299431629450666e-05  9.3984597729454528e-05
     2     16 -6.3691057391350216e-06  6.6817339617341418e-06
     2     17 -1.3687341729906224e-03 -9.6813993172138670e-04
     2     18  1.3576432057972739e-03  9.8917736700805973e-04
     2     19  3.3721602612400550e-05  3.4792151361291903e-05
     2     20  5.5392248988586842e-03 -5.4141170646798947e-03
     2     21  2.8035905610438323e-04  2.8740430047279687e-04
     2     22  2.1958360243121344e-03 -2.1600855264967802e-03
     2     23 -7.3128667734204836e-07 -4.1746828242982216e-07
     2     24 -4.0098540470687914e-04  2.5285818723901093e-04
     2     25 -5.9189446434133809e-04  3.7247448574088764e-04
     2     26  7.1671490966396790e-06  8.8821089487835994e-06
     2     27 -4.2264899109493542e-04  2.5237729727058730e-04
     2     28 -6.1545634847792470e-04  3.6750730264329578e-04
     3      1  3.0575861911618132e-05 -4.6286878205701342e-06
     3      2 -7.8674962455272363e-02 -4.5081408981606161e-06
     3      3  2.0258012470202491e+00  2.1208534947115256e-12
     3      4 -1.4203396164971653e-05 -1.7594242557418227e-05
     3      5 -1.5430110180498096e-03  9.1080734847609783e-04
     3      6 -4.6297657643116268e-02  2.7328820466055125e-02
     3      7  1.5394331002551088e-04 -3.7181648513790085e-04
     3      8  3.7652331992946153e-05  1.5774505690652013e-05
     3      9 -6.5678954307938950e-05 -2.7578852419047514e-05
     3     10  1.6616369774570346e-04 -1.1098223801857139e-04
     3     11  6.8745865989636019e-05  7.6899382503571104e-05
     3     12 -9.7847787054447435e-04 -1.0641295333311093e-03
     3     13 -2.4299993210050711e-04  4.5265884019563282e-05
     3     14 -4.0912553404601594e-05  4.2496085966863193e-05
     3     15 -7.9594132422707519e-04  7.7220518339053495e-04
     3     16  2.6778871103249954e-06 -2.8103357807517779e-06
     3     17 -1.5540936358866093e-03 -1.0993821943726166e-03
     3     18  4.2855831651977531e-02  3.1228404661727330e-02
     3     19 -2.1554659365883402e-06 -2.2239422166657669e-06
     3     20  2.1197112519670538e-03 -2.0715988774067605e-03
     3     21  1.3692618329728195e-03  1.4038568396176022e-03
     3     22  6.9875891323962908e-02 -6.8730423648381514e-02
     3     23  1.5408588809816336e-05 -4.9587668069474956e-05
     3     24 -5.7899009332313615e-04  3.6433763170964451e-04
     3     25 -1.5691913740456840e-02  9.8806673808712071e-03
     3     26 -7.4761339941114727e-06 -9.2677642727074830e-06
     3     27 -6.0105390556888598e-04  3.5886306363924373e-04
     3     28 -1.6569443939365928e-02  9.8928687284377710e-03
     4      1  8.8697695283128310e-04 -1.5177066663158321e-03
     4      2  5.0475124144042091e-06 -6.2531248568957702e-06
     4      3 -1.4203396164971653e-05  1.7594242557418227e-05
     4      4  3.6289671496888025e+00 -8.4172372773640770e-11
     4      5  1.1065583214731958e-06 -7.5418093657453089e-06
     4      6 -3.6422673456898015e-06  2.4785801258193838e-05
     4      7  2.7472486145013850e-05  5.0560555704754494e-05
     4      8  3.5585886341569210e-05 -1.9194762289143943e-05
     4      9  6.3958156706323780e-04 -3.4533356397952391e-04
     4     10 -2.0394699689184489e-07  2.2588160301180351e-06
     4     11  1.1560831070378048e-04 -5.8358587151889846e-06
     4     12  9.3200158133725124e-05 -6.0151557523062304e-06
     4     13 -2.7351152277832182e-05  5.0633431593064694e-05
     4     14 -4.5447739981687036e-06 -2.8740140552284166e-05
     4     15 -7.9976858529789152e-05 -5.0577395346941285e-04
     4     16  9.1584625686145235e-06  6.9928393305578696e-05
     4     17  5.8933120398345732e-06 -1.6696365072593052e-06
     4     18  3.0617199718053349e-05 -8.2087385347114087e-06
     4     19 -4.8185757256078587e-04  4.3802281874702119e-05
     4     20  2.9047422309330550e-07  3.0534045772024801e-06
     4     21  7.8953872692319536e-04 -7.4330706238361197e-05
     4     22 -5.1337635588599494e-06 -5.2205123731224145e-05
     4     23 -4.0220310280828109e-03 -6.7798852538149814e-03
     4     24 -4.4074082244766226e-06  3.7609719879357505e-05
     4     25 -8.1326966814975592e-06  6.9362514768130985e-05
     4     26  1.2078266061401394e-04  2.9022118998225352e-08
     4     27  1.1568943666773538e-06 -8.0963223857205668e-06
     4     28 -4.3123271393404027e-06  2.8001662411371159e-05
     5      1 -6.4570085460735475e-06 -2.6020349676619623e-06
     5      2 -1.4401271782905727e-03 -8.5018963650181111e-04
     5      3 -1.5430110180498096e-03 -9.1080734847609783e-04
     5      4  1.1065583214731958e-06  7.5418093657453089e-06
     5      5  1.8701724366304426e+00 -7.5837311738274670e-11
     5      6 -8.1683679764202127e-02  3.1477419733881380e-07
     5      7 -1.1731368651559144e-05  8.8078398255978491e-06
     5      8 -2.5394508509136667e-06 -3.3001483510573938e-06
     5      9 -7.3867417630771182e-05 -1.0210934152459751e-04
     5     10  1.4521677144509052e-04 -8.0856589212931487e-06
     5     11  1.7936034571147831e-06  9.0212106485948100e-06
     5     12 -9.7136623592695134e-06 -4.5497457690433345e-05
     5     13 -4.5807739002267516e-06 -1.6693832820656200e-06
     5     14 -8.1827427212906745e-06  2.5551645420764600e-06
     5     15 -2.1773777457729818e-04  6.7988567113978540e-05
     5     16 -8.5083644003563444e-06  2.4102277511180055e-06
     5     17 -4.6393334677383308e-06 -1.0336643470670077e-05
     5     18 -1.2834370428974225e-04 -2.9705327237529753e-04
     5     19  2.5682973480168790e-06  1.0657579682723875e-05
     5     20  4.8197456161350817e-04 -1.1829345911931852e-04
     5     21  8.9880381040265069e-05  3.6777677971790835e-04
     5     22  7.3694825190802761e-04 -1.8338784378331573e-04
     5     23 -3.7144639452189755e-05  3.0113464652369845e-05
     5     24 -7.3825199574201732e-03  2.1518135630275152e-04
     5     25 -2.9876712480462965e-03  8.7083437718518406e-05
     5     26  9.3297839342129955e-07  6.3375141355720149e-06
     5     27  3.4217486490116496e-05 -1.9735026683210472e-07
     5     28  1.1167424472221291e-03 -6.2477891660769585e-06
     6      1  3.1008786679010269e-05  1.2493492400921729e-05
     6      2 -1.4708014052424482e-03 -8.6830472654344723e-04
     6      3 -4.6297657643116268e-02 -2.7328820466055125e-02
     6      4 -3.6422673456898015e-06 -2.4785801258193838e-05
     6      5 -8.1683679764202127e-02 -3.1477419733881380e-07
     6      6  2.2047626038359796e+00  1.2395524105772630e-12
     6      7 -1.5179798226174160e-04  1.1451789409509000e-04
     6      8 -3.1626146505031310e-05 -4.5289928979062302e-05
     6      9 -5.9751012713615554e-04 -9.2141760419996816e-04
     6     10  4.5433801356805758e-04 -2.5295456398676675e-05
     6     11  3.4916645669261540e-07  1.7689147449243241e-06
     6     12 -4.9253889611950916e-05 -2.3102825997639768e-04
     6     13 -5.1355303570937423e-05 -1.8716540984026553e-05
     6     14 -1.5125862755369535e-04  4.7230741699496119e-05
     6     15 -2.0020161384399233e-03  6.2504434263340695e-04
     6     16  5.5735032412214740e-06 -1.5802110432249983e-06
     6     17  1.4653189746239876e-04  3.2648762166048110e-04
     6     18 -5.8428284316614102e-03 -1.3523337137951371e-02
     6     19 -3.9109445004059390e-06 -1.6229523414981696e-05
     6     20  6.8353359263873090e-04 -1.6776058517018036e-04
     6     21  4.2721142264100210e-04  1.7481737766471426e-03
     6     22  1.9255268238829292e-02 -4.7915209570046852e-03
     6     23  1.3576668484442617e-08 -9.1873628996726545e-09
     6     24 -2.7583617987846248e-03  8.0387881016549998e-05
     6     25 -9.0213024315433377e-02  2.6291080434479733e-03
     6     26 -6.5577262605754698e-06 -4.1150523630348626e-05
     6     27  1.0242145945950733e-03 -5.7750639877247924e-06
     6     28  4.2443816366182802e-02 -2.2127450107154876e-04
     7      1  8.3371017673588933e-07  1.3828089188738732e-06
     7      2  5.3772072446615960e-05  1.2989620188922710e-04
     7      3  1.5394331002551088e-04  3.7181648513790085e-04
     7      4  2.7472486145013850e-05 -5.0560555704754494e-05
     7      5 -1.1731368651559144e-05 -8.8078398255978491e-06
     7      6 -1.5179798226174160e-04 -1.1451789409509000e-04
     7      7  2.6438840886709039e+00 -8.4083949697140951e-11
     7      8 -5.7792601037588101e-08  1.3938605498043019e-05
     7      9 -2.3984110923657235e-08  6.4955760165649358e-06
     7     10 -1.4207389552295671e-03 -9.5001092816906607e-04
     7     11 -9.7218762198111267e-06  2.0189775525047609e-05
     7     12 -1.5720405013422145e-05  3.3863751864238387e-05
     7     13 -9.1122304762985000e-04 -1.4020119169178395e-03
     7     14 -2.4451738479267687e-05 -8.7141563678626685e-06
     7     15  2.6219932302851000e-05  9.3406268443300764e-06
     7     16  2.8897640910130412e-05  1.1174089030756492e-05
     7     17 -8.4153986852766479e-06  3.7085291025073027e-05
     7     18  4.3712599222790268e-05 -1.8083681788471287e-04
     7     19 -3.3571253409835913e-04  7.7551818860660559e-04
     7     20 -3.7775138751674282e-03 -1.6164480353937187e-03
     7     21  2.5825372930715222e-04 -6.0187103112271370e-04
     7     22 -1.4417716264217596e-03 -6.1147669552160701e-04
     7     23 -3.5169178269393078e-05  1.2753125710245879e-06
     7     24  2.2569145928284052e-04  1.5972149149627303e-04
     7     25  3.9629456622709022e-04  2.8045654183172342e-04
     7     26 -1.2969480802675958e-05  2.4969404293165397e-05
     7     27  2.2306878858684764e-04  1.6621844539445213e-04
     7     28  3.9694475411605458e-04  2.9456132159552846e-04
     8      1  9.6815122425301464e-05 -5.8948792118760963e-05
     8      2 -5.5315472168089856e-06  2.3171193916780515e-06
     8      3  3.7652331992946153e-05 -1.5774505690652013e-05
     8      4  3.5585886341569210e-05  1.9194762289143943e-05
     8      5 -2.5394508509136667e-06  3.3001483510573938e-06
     8      6 -3.1626146505031310e-05  4.5289928979062302e-05
     8      7 -5.7792601037588101e-08 -1.3938605498043019e-05
     8      8  6.1645451778394955e-01 -7.5170881871961556e-11
     8      9 -7.7896079476078295e-02 -4.4627347694610577e-06
     8     10 -1.9401354050574482e-05  2.9280151530361884e-05
     8     11  1.4989127878219997e-03  7.1401401518837303e-04
     8     12 -8.5454823719014839e-04 -3.9244489623520284e-04
     8     13 -2.6169164415733489e-05  1.7165355118608990e-05
     8     14 -5.3966602283588537e-04  1.5346274847300202e-03
     8     15 -3.0537435057503181e-04  8.6837582556109931e-04
     8     16  5.1872786279676462e-06 -1.3584956814379962e-05
     8     17 -7.7642573065879004e-06 -1.7275629595319938e-06
     8     18  8.4099909643611299e-05  1.9954744598502084e-05
     8     19 -3.7516591657981873e-03 -1.6053843375946116e-03
     8     20  6.5937590827908302e-05 -1.5590827806558847e-04
